datum;gremium;top;titel;hinweis;abstimmungshinweis
2026-05-07;Marktgemeinderat;6;Bildung eines Wahlausschusses für die Wahl der weiteren Bürgermeister - Beschlussfassung (beschließend);Mai 2026 Eröffnung der neuen Sitzungsperiode Erster Bürgermeister Martin Beckel eröffnete seine dritte Amtszeit mit einem kurzen Rückblick auf die Kommunalwahl am 8. März 2026, die im Gremium der Marktgemeinde zu Veränderungen auf acht Positionen führte.;
2026-05-07;Marktgemeinderat;7;Wahl der weiteren Bürgermeister (beschließend);Mai 2026 Eröffnung der neuen Sitzungsperiode Erster Bürgermeister Martin Beckel eröffnete seine dritte Amtszeit mit einem kurzen Rückblick auf die Kommunalwahl am 8. März 2026, die im Gremium der Marktgemeinde zu Veränderungen auf acht Positionen führte.;
2026-05-07;Marktgemeinderat;7.1;Wahl des zweiten Bürgermeisters (beschließend);Mai 2026 Eröffnung der neuen Sitzungsperiode Erster Bürgermeister Martin Beckel eröffnete seine dritte Amtszeit mit einem kurzen Rückblick auf die Kommunalwahl am 8. März 2026, die im Gremium der Marktgemeinde zu Veränderungen auf acht Positionen führte. Der Wähler habe für eine gute Mischung gesorgt, lediglich bei der Gesch lechterverteilung herrsche nach wie vor Ungleichgewicht.;
2026-05-07;Marktgemeinderat;7.2;Wahl des dritten Bürgermeisters (beschließend);Mai 2026 Eröffnung der neuen Sitzungsperiode Erster Bürgermeister Martin Beckel eröffnete seine dritte Amtszeit mit einem kurzen Rückblick auf die Kommunalwahl am 8. März 2026, die im Gremium der Marktgemeinde zu Veränderungen auf acht Positionen führte. Der Wähler habe für eine gute Mischung gesorgt, lediglich bei der Gesch lechterverteilung herrsche nach wie vor Ungleichgewicht.;
2026-05-07;Marktgemeinderat;7.3;Vereidigung des zweiten und/oder dritten Bürgermeisters (beschließend);Die Vereidigung der neuen Räte nahm Erster Bürgermeiste r Martin Beckel vor. Michael Rosenberger war für die Sitzung entschuldigt. Seine Vereidigung ist für die Sitzung des Marktgemeinderates im Juni vorgesehen. Wahl der weiteren Stellvertreter Die weiteren Bürgermeister, gleichzeitig auch Stellvertreter des Ersten Bürgermeisters, wurden durch Wahl der Gremiumsmitglieder aus deren Kreis bestimmt.;
2026-05-07;Marktgemeinderat;8;Verpflichtung der Bürgermeister auf Geheimhaltung von Angelegenheiten nach Art. 56 a Abs. 1 der Bayerischen Gemeindeordnung (informativ);Mai 2026 Eröffnung der neuen Sitzungsperiode Erster Bürgermeister Martin Beckel eröffnete seine dritte Amtszeit mit einem kurzen Rückblick auf die Kommunalwahl am 8. März 2026, die im Gremium der Marktgemeinde zu Veränderungen auf acht Positionen führte.;
2026-05-07;Marktgemeinderat;9;Besetzung der Ausschüsse (beschließend);Bekanntgabe der Fraktionsvorsitzenden Für die Legislaturperiode 2026 – 2032 wurden von de n im Marktgemeinderat vertretenen Fraktionen folgende Marktgemeinderatsmi tglieder als Fraktionsvorsitzende benannt: CSU Heinz Heim Freie Wähler Markus Gorbach UTL Thomas Wintergerst PLW Matthias Probst SPD Beate Kümpflein Besetzung der Ausschüsse Einstimmig beschloss der Marktgemeinderat die Besetzung der Ausschüsse, sowie die ;Einstimmig
2026-05-07;Marktgemeinderat;9.1;Haupt- und Finanzausschuss- Beschlussfassung (beschließend);Die Abnahme der Verpflichtungserklärung erfolgte für den Ersten Bürgermeister durch Hauptamtsleiter Christian Schiebel im Auftrag der R echtsaufsichtsbehörde des Landratsamt Oberallgäu. Im Anschluss nahm Erster Bürgermeister Martin Beckel dem zweiten und dritten Bürgermeister jeweils diese Verpflichtungserklärung ab. Bekanntgabe der Fraktionsvorsitzenden Für die Legislaturperiode 2026 – 2032 wurden von de n im Marktg;
2026-05-07;Marktgemeinderat;9.2;Bau- und Umweltausschuss - Beschlussfassung (beschließend);Achim Pfisterer) UTL: Björn Walser (Michael Rosenberger), Thomas Wintergerst (Johannes Hummel) PLW: Christian Graf (Matthias Probst) SPD: Florian Schoder (Beate Kümpflein) Bau- und Umweltausschuss CSU: Heinz Heim (Thomas Stehle), Markus Geißler (Mi chael Fink), Reinhold Nußbaumer (Franziska Schädler) FWO: Dr. Achim Pfisterer (Johannes Lingg), Helmut Reichart (Markus Gorbach) UTL: Johannes Hummel (Thomas Wintergerst),;
2026-05-07;Marktgemeinderat;9.3;Werkausschuss für den Tourismus Eigenbetrieb Oberstaufen (Tourismusausschuss) - Beschlussfassung (beschließend);Achim Pfisterer (Johannes Lingg), Helmut Reichart (Markus Gorbach) UTL: Johannes Hummel (Thomas Wintergerst), Björn Walser (Michael Rosenberger) PLW: Matthias Probst (Fabian Höß) SPD: Florian Schoder (Beate Kümpflein) Werkausschuss für den Tourismus Eigenbetrieb Oberst aufen (Tourismusausschuss) CSU: Thomas Stehle (Heinz Heim), Markus Geißler (Mi chael Fink), Franziska Schädler (Reinhold Nußbaumer) FWO: Johannes Ling;
2026-05-07;Marktgemeinderat;9.4;Rechnungsprüfungsausschuss - Beschlussfassung (beschließend);Vorsitzender T homas Stehle (Reinhold Nußbaumer) FWO: Vorsitzender Markus Gorbach (Ferdinand Brams), Dr. Achim Pfisterer (Johannes Lingg) UTL: Michael Rosenberger (Björn Walser) PLW: Matthias Probst (Christian Graf) SPD: Beate Kümpflein (Florian Schoder) Aufsichtsrat Oberstaufen Tourismus Marketing GmbH s owie Aufsichtsrat der Aquaria Erlebnisbad-Betriebs GmbH CSU: Thomas Stehle, Markus Geißler, Franziska Schädler FW;
2026-05-07;Marktgemeinderat;10;Bestellung eines Vorsitzenden und eines stellvertretenden Vorsitzenden des Rechnungsprüfungsausschusses - Beschlussfassung (beschließend);Die Ausübung eines Ehrenamtes sei mittlerweile bei weitem keine Selbstverständlic hkeit mehr. Viele würden die damit verbundenen Verpflichtungen scheuen, ob im Verein, in anderen Organisationen oder eben in der Politik.;
2026-05-07;Marktgemeinderat;11;Bestellung der Vertreter des Marktes Oberstaufen in den Aufsichtsrat der Oberstaufen Tourismus Marketing GmbH - Beschlussfassung (beschließend);Wahl der weiteren Stellvertreter Die weiteren Bürgermeister, gleichzeitig auch Stellvertreter des Ersten Bürgermeisters, wurden durch Wahl der Gremiumsmitglieder aus deren Kreis bestimmt. Auf Vorschlag der Freien Wähler wurde erneut Markus Geißler (CSU) als 2.;
2026-05-07;Marktgemeinderat;12;Bestellung der Vertreter des Marktes Oberstaufen in den Aufsichtsrat der Aquaria Erlebnisbad-Betriebs GmbH - Beschlussfassung (beschließend);Die Erweiterungen des Außensaunabereichs im Aquaria sowie der Einstieg in die Planungen des Kurhauses waren ebenfalls Meilenstein e. Die Einrichtung des Naturkindergartens, der Umzug des Familienzentrums in die neuen Räume beim Seniorenzentrum, die Sanierung der Schulsportanlage n sowie die Planungen für die Erweiterung des Schulhauses für die Mittagsbetreuung konnten umgesetzt werden.;
2026-05-07;Marktgemeinderat;13;Bestellung der Vertreter des Marktes Oberstaufen in die Schulverbandsversammlung - Beschlussfassung (beschließend);Wahl der weiteren Stellvertreter Die weiteren Bürgermeister, gleichzeitig auch Stellvertreter des Ersten Bürgermeisters, wurden durch Wahl der Gremiumsmitglieder aus deren Kreis bestimmt. Auf Vorschlag der Freien Wähler wurde erneut Markus Geißler (CSU) als 2.;
2026-05-07;Marktgemeinderat;14;Bestellung der Vertreter des Marktes Oberstaufen für den Stiftungsausschuss der Gräfl.-Königsegg-Rothenfels'schen Spitalstiftung und der Gräfl. Königsegg'schen Waisenhausstiftung - Beschlussfassung (beschließend);In seiner Rede ging er darauf ein, dass es Grundvoraussetzung für das Funktionieren einer Gesellschaft ist, dass sich Menschen für ande re Menschen engagieren, für die Allgemeinheit einsetzen und Aufgaben übernehmen. Die Ausübung eines Ehrenamtes sei mittlerweile bei weitem keine Selbstverständlic hkeit mehr. Viele würden die damit verbundenen Verpflichtungen scheuen, ob im Verein, in anderen Organisationen oder eben;
2026-05-07;Marktgemeinderat;15;Bestellung der Vertreter des Marktes Oberstaufen für den Stiftungsrat der Leprosenstiftung - Beschlussfassung (beschließend);Wahl der weiteren Stellvertreter Die weiteren Bürgermeister, gleichzeitig auch Stellvertreter des Ersten Bürgermeisters, wurden durch Wahl der Gremiumsmitglieder aus deren Kreis bestimmt. Auf Vorschlag der Freien Wähler wurde erneut Markus Geißler (CSU) als 2.;
