datum;gremium;top;titel;beschlussstatus;berichte;beschlusshinweis;abstimmungshinweis
2025-02-26;Bau- und Umweltausschuss;7;"BayStrWG; Einziehung eines öffentlichen Feld- und Waldweges (Blatt 75 Ob) - Von Willis Haus Nr. 10 zum landw. Anwesen Willis Haus Nr. 7 (beschließend)";beschließend vorgesehen;0;;
2025-02-26;Bau- und Umweltausschuss;8;Pflastersanierung Kirchplatz / Schloßstraße Hier: Jurybesetzung Beschlussfassung (beschließend);beschließend vorgesehen;0;;
2025-02-26;Bau- und Umweltausschuss;9;Freibad Thalkirchdorf Vorstellung Energiekonzept Beschlußfassung;kein beschließender TOP-Titel;0;;
2025-02-26;Bau- und Umweltausschuss;10;Genehmigung der letzten öffentlichen Sitzungsniederschrift (beschließend);beschließend vorgesehen;0;;
2025-02-26;Bau- und Umweltausschuss;11;Anfragen und Bekanntgaben (informativ);kein beschließender TOP-Titel;0;;
2025-02-24;Tourismusausschuss;1;Anträge zur Tagesordnung;kein beschließender TOP-Titel;0;;
2025-02-24;Tourismusausschuss;2;Genehmigung der letzten öffentlichen Sitzungsniederschrift (beschließend);beschließend vorgesehen;0;;
2025-02-24;Tourismusausschuss;3;Wirtschaftsplan Tourismus Eigenbetrieb Oberstaufen 2025 - Vorberatung (vorberatend);kein beschließender TOP-Titel;0;;
2025-02-24;Tourismusausschuss;4;Verpflichtungsermächtigung für den Wirtschaftsplan TEO 2026 - Beschlussfassung (beschließend);beschließend vorgesehen;0;;
2025-02-24;Tourismusausschuss;5;Anfragen und Bekanntgaben;kein beschließender TOP-Titel;0;;
2025-02-13;Marktgemeinderat;1;Anträge zur Tagesordnung (beschließend);beschließend vorgesehen;1;;
2025-02-13;Marktgemeinderat;2;"Beschaffung eines Löschgruppenfahrzeuges 20 für die Feuerwehr Steibis; Auftragsvergabe - Beschlussfassung (beschließend)";beschließend vorgesehen;1;"Februar 2025 Beschaffung eines Löschgruppenfahrzeuges 20 für die Feuerwehr Steibis; Auftragsvergabe In der Sitzung des Marktgemeinderates am 14. Novemb er 2024 wurde die Beauftragung der Verwaltung zum Start des Ausschrei bungsverfahrens zur Ersatzbeschaffung eines Löschgruppenfahrzeuges 20 ( LF 20) für die freiwillige Feuerwehr Steibis beschlossen.";
2025-02-13;Marktgemeinderat;3;Bestellung von Frau V. S. zur Standesbeamtin und Ernennung zur stellvertretenden Standesamtsleiterin - Beschlussfassung (beschließend);beschließend vorgesehen;1;;
2025-02-13;Marktgemeinderat;4;Neufassung der Wochenmarktgebührensatzung - Beschlussfassung (beschließend);beschließend vorgesehen;1;Neufassung der Wochenmarktgebührensatzung Die Wochenmarktgebührensatzung soll neu erlassen we rden, die bisherigen Regelungen werden dabei zur Klarstellung der Abrech nungsbedingungen erweitert. Die Abrechnung erfolgt jährlich zum 30.;
2025-02-13;Marktgemeinderat;5;Öffentlicher Verkehr im Landkreis Oberallgäu, Mobilitätskonzept mobil365 - Beschlussfassung (beschließend);beschließend vorgesehen;1;Abzüglich der Förderungen der Regierung von Schwaben, dem Landkreis Oberallgäu und dem freiwilligen Anteil des Feuerwehrvereins St eibis beträgt der Eigenanteil des Marktes ca. 413.000,00 Euro. Die voraussichtliche Produktionsdauer des Fahrzeuges beträgt 28 Monate ab Auftragsvergabe.;
2025-02-13;Marktgemeinderat;6;Vorstellung Bauvorhaben Hugo-von-Königsegg-Straße 12: Abbruch und Neubau - Beschlussfassung (beschließend);beschließend vorgesehen;1;Vorstellung Bauvorhaben Hugo-von-Königsegg-Straße 12: Abbruch und Neubau Das Gebäude in der Hugo-von-Königsegg-Straße 12 soll durch einen Neubau ersetzt werden. Es soll hierbei eine gemeinsame Tiefgarage mit dem Anwesen Hugo-von- Königsegg-Straße 10 entstehen. Das Gebäude liegt au ßerhalb der aktuellen Erhaltungssatzung, weshalb hier lediglich das sog.;
2025-02-13;Marktgemeinderat;7;Bauleitplanung (beschließend);beschließend vorgesehen;1;;
2025-02-13;Marktgemeinderat;7.1;"Aufhebung des Bebauungsplanes ""Teilbaulinie Wiedemannsdorf"" - Beschlussfassung (beschließend)";beschließend vorgesehen;1;1“ In der Bau- und Umweltausschusssitzung vom 27. November 2024 wurde erneut aus der Mitte der Ausschussmitglieder die Notwendigkeit der Aufhebung von Teilbaulinienplan und Bebauungsplan angemerkt. Die Teilbaulinie Wiedemannsdorf wurde mit Bescheid des Landratsamtes Oberallgäu vom 28.;
2025-02-13;Marktgemeinderat;7.2;"Aufhebung ""Bebauungsplan Wiedemannsdorf Nr. 1"" - Beschlussfassung (beschließend)";beschließend vorgesehen;1;1“ In der Bau- und Umweltausschusssitzung vom 27. November 2024 wurde erneut aus der Mitte der Ausschussmitglieder die Notwendigkeit der Aufhebung von Teilbaulinienplan und Bebauungsplan angemerkt. Die Teilbaulinie Wiedemannsdorf wurde mit Bescheid des Landratsamtes Oberallgäu vom 28.;
2025-02-13;Marktgemeinderat;8;Beteiligungsverfahren zum Entwurf zur Fortschreibung des Teilfachkapitels B IV 3.2 Nutzung der Windenergie des Regionalplans der Region Allgäu - Beschlussfassung (beschließend);beschließend vorgesehen;1;2 Nutzung der Windenergie des Regionalplans der Region Allgäu In der Sitzung des Bau- und Umweltausschusses wurde bereits darüber beraten, ob das Vorranggebiet für Windenergienutzung auf der Gemeindeflur im Bereich „Hündle“ verbleiben soll.;
2025-02-13;Marktgemeinderat;9;Renaturierung Konstanzer Ach (beschließend);beschließend vorgesehen;1;Mai 2 023 wurde beschlossen, die Renaturierung Konstanzer-Ach im 1. Bauabschnitt umz usetzen und hierzu die erforderlichen Genehmigungen einzuholen und die Zus chussanträge zu stellen. Mit Datum vom 5. Dezember 2024 wurde vom Landratsamt Ob erallgäu der Wasserrechtsbescheid für die Gewässerrenaturierung Konstanzer Ach erlassen.;
2025-02-13;Marktgemeinderat;9.1;Wasserrecht und Zuschuss - Beschlussfassung (beschließend);beschließend vorgesehen;1;Bauabschnitt umz usetzen und hierzu die erforderlichen Genehmigungen einzuholen und die Zus chussanträge zu stellen. Mit Datum vom 5. Dezember 2024 wurde vom Landratsamt Ob erallgäu der Wasserrechtsbescheid für die Gewässerrenaturierung Konstanzer Ach erlassen.;
2025-02-13;Marktgemeinderat;9.2;Auftragsvergabe - Beschlussfassung (beschließend);beschließend vorgesehen;1;;
2025-02-13;Marktgemeinderat;10;"Erweiterung Rathaus; Vorstellung der Planungen für das Treppenhaus - Beschlussfassung (beschließend)";beschließend vorgesehen;1;;
2025-02-13;Marktgemeinderat;11;Genehmigung der letzten öffentlichen Sitzungsniederschrift (beschließend);beschließend vorgesehen;1;;
2025-02-13;Marktgemeinderat;12;Anfragen und Bekanntgaben (informativ);kein beschließender TOP-Titel;1;;
2025-02-11;Haupt- und Finanzausschuss;1;Vermögenshaushalt Markt Oberstaufen 2025 mit Finanzplanung - Vorberatung (vorberatend);kein beschließender TOP-Titel;0;;
2025-02-11;Haupt- und Finanzausschuss;2;Zuschussantrag Heimatverein Thalkirchdorf wegen Sanierungsmaßnahmen Huimatle - Beschlussfassung (beschließend);beschließend vorgesehen;0;;
2025-02-11;Haupt- und Finanzausschuss;3;Genehmigung der letzten öffentlichen Sitzungsniederschrift (beschließend);beschließend vorgesehen;0;;
2025-02-11;Haupt- und Finanzausschuss;4;Anfragen und Bekanntgaben (informativ);kein beschließender TOP-Titel;0;;
2025-02-04;Haupt- und Finanzausschuss;1;Anträge zur Tagesordnung (beschließend);beschließend vorgesehen;0;;
2025-02-04;Haupt- und Finanzausschuss;2;Verwaltungshaushalt Markt Oberstaufen 2025 mit Finanzplanung - Vorberatung (vorberatend);kein beschließender TOP-Titel;0;;
2025-02-04;Haupt- und Finanzausschuss;3;Personalmanagement Software, Auftragsvergabe - Beschlussfassung;kein beschließender TOP-Titel;0;;
2025-02-04;Haupt- und Finanzausschuss;4;Genehmigung der letzten öffentlichen Sitzungsniederschrift (beschließend);beschließend vorgesehen;0;;
2025-02-04;Haupt- und Finanzausschuss;5;Anfragen und Bekanntgaben (informativ);kein beschließender TOP-Titel;0;;
2025-01-15;Bau- und Umweltausschuss;1;Anträge zur Tagesordnung (beschließend);beschließend vorgesehen;0;;
2025-01-15;Bau- und Umweltausschuss;2;Bauanträge (beschließend);beschließend vorgesehen;0;;
2025-01-15;Bau- und Umweltausschuss;2.1;"Schloßstraße 16, Fl.-Nr. 12, Gemarkung Oberstaufen; Umnutzung einer Ladeneinheit im EG zur Wohnung (beschließend)";beschließend vorgesehen;0;;
2025-01-15;Bau- und Umweltausschuss;2.2;"Am Hößl, Fl.-Nr. 774/5, Gemarkung Aach im Allgäu; Anbau an ein bestehendes Carport zur Unterbringung von Maschinen (beschließend)";beschließend vorgesehen;0;;
2025-01-15;Bau- und Umweltausschuss;2.3;"Schellenbergstraße 6, Fl.-Nr. 410/10, Gemarkung Oberstaufen; Anbau an das bestehende Gebäude - Errichtung von Dachgauben - Abriss der bestehenden Garage und Neuerrichtung von Garagen (beschließend)";beschließend vorgesehen;0;;
2025-01-15;Bau- und Umweltausschuss;2.4;"Konstanzer 55, Fl.-Nr. 278/21, Gemarkung Thalkirchdorf; Nutzungsänderung von Eigentumswohnung zu Ferienwohnung (neu: Wohnungsnr. 5) (beschließend)";beschließend vorgesehen;0;;
2025-01-15;Bau- und Umweltausschuss;3;Auftragsvergaben (beschließend);beschließend vorgesehen;0;;
2025-01-15;Bau- und Umweltausschuss;4;"Änderung der Bayerischen Bauordnung (BayBO) - Beispiel: Nutzungsänderung ""Ferienwohnungen"" (informativ)";kein beschließender TOP-Titel;0;;
2025-01-15;Bau- und Umweltausschuss;5;Beteiligungsverfahren zum Entwurf zur Fortschreibung des Teilfachkapitels B IV 3.2 Nutzung der Windenergie des Regionalplans der Region Allgäu (vorberatend);kein beschließender TOP-Titel;0;;
2025-01-15;Bau- und Umweltausschuss;6;"Erweiterung Rathaus; Sachstand Planung (informativ)";kein beschließender TOP-Titel;0;;
2025-01-15;Bau- und Umweltausschuss;7;Genehmigung der letzten öffentlichen Sitzungsniederschrift (beschließend);beschließend vorgesehen;0;;
2025-01-15;Bau- und Umweltausschuss;8;Anfragen und Bekanntgaben (informativ);kein beschließender TOP-Titel;0;;
2025-01-15;Bau- und Umweltausschuss;8.1;"Gemeinde Blaichach; 7. Änderung des Bebauungsplanes ""Blaichach-Nord Gewerbegebiet"" inkl. Teilaufhebung im Bereich Fl.-Nr. 57/4, Gem. Blaichach (beschließend)";beschließend vorgesehen;0;;
2025-01-15;Bau- und Umweltausschuss;8.2;"Gemeinde Stiefenhofen; Außenbereichssatzung ""Unterthalhofen"" (beschließend)";beschließend vorgesehen;0;;
2024-12-12;Marktgemeinderat;1;Anträge zur Tagesordnung (beschließend);beschließend vorgesehen;1;;
2024-12-12;Marktgemeinderat;2;Ortsrecht (beschließend);beschließend vorgesehen;1;;
2024-12-12;Marktgemeinderat;2.1;Festsetzung der Grundsteuerhebesätze (Hebesatzsatzung) - Beschlussfassung (beschließend);beschließend vorgesehen;1;Dezember 2024 Festsetzung der Grundsteuerhebesätze (Hebesatzung) Nach dem Urteil des Bundesverfassungsgerichtes zur Verfassungswidrigkeit der bisherigen Bemessungsgrundlage zur Berechnung der G rundsteuer müssen die Kommunen nunmehr mit Wirkung zum 01.;
2024-12-12;Marktgemeinderat;2.2;"Beitrags- und Gebührensatzung zur Wasserabgabesatzung - Globalkalkulation; Änderung des Beitragssatzes; Erhöhung - Beschlussfassung (beschließend)";beschließend vorgesehen;1;;
2024-12-12;Marktgemeinderat;2.3;"Beitrags- und Gebührensatzung zur Entwässerungssatzung - Globalkalkulation; Änderung des Beitragssatzes; Erhöhung - Beschlussfassung (beschließend)";beschließend vorgesehen;1;;
2024-12-12;Marktgemeinderat;2.4;Neufassung der Friedhofs- und Bestattungssatzung - Beschlussfassung (beschließend);beschließend vorgesehen;1;2025 mit gleichbleibenden Hebesätzen (Grundsteuer A 320%-Punkte, Grundsteuer B 420%-Punkte) Neufassung der Friedhofs- und Bestattungssatzung Der Marktgemeinderat beschloss einstimmig die Neufa ssung der Satzung über die öffentliche Bestattungseinrichtung (Friedhofs- und Bestattungssatzung).;einstimmig
2024-12-12;Marktgemeinderat;2.5;Erlass einer Verordnung über das Offenhalten von Verkaufsstellen (verkaufsoffener Sonntag) - Beschlussfassung (beschließend);beschließend vorgesehen;1;Vor dem Hintergrund, dass zurzeit eine genaue Entwi cklung der Grundsteueraufkommen in Grundsteuer A und B für 202 5 nicht abschätzbar sind, schlug die Finanzverwaltung vor, die Hebesätze für das Jahr 2025 gleichbleibend zu belassen und für das Jahr 2026 nach Einpflege aller Schätzungen, Korrekturen und Neuanlagen im Dezember 2025 neu über die Hebesätze zu beraten. Der Marktgemeinderat beschloss einstimmig die Satzun;einstimmig
2024-12-12;Marktgemeinderat;3;Bestätigung des stv. Kommandanten der Feuerwehr Oberstaufen - Beschlussfassung (beschließend);beschließend vorgesehen;1;Bestätigung des stellvertretenden Kommandanten der Feuerwehr Oberstaufen Bei der Kommandantenwahl am 9. Dezember 2024 im Feu erwehrhaus Oberstaufen wurde Hans-Peter Geisenhof zum stellvertretenden Ko mmandanten gewählt.;
2024-12-12;Marktgemeinderat;4;Zuschusszahlung Heimatdienst - Beschlussfassung (beschließend);beschließend vorgesehen;1;Zuschusszahlung Heimatdienst Der Heimatdienst Oberstaufen ist derzeit beschäftig t mit der Aufstellung des so genannten Kohlerhauses. Der Wohnteil wurde bereits in fachmännischer Arbeit aufgerichtet. Der hintere Tennenteil soll im neuen Jahr fertiggestellt werden.;
2024-12-12;Marktgemeinderat;5;"Bauleitplanung; Aufstellungsbeschluss zur 1. Änderung des Bebauungsplanes ""Auf der Halde"" in Wiedemannsdorf - Beschlussfassung (beschließend)";beschließend vorgesehen;1;Bauleitplanung: Aufstellungsbeschluss zur 1. Änderu ng des Bebauungsplanes „Auf der Halde“ in Wiedemannsdorf Mit der Marktgemeinderatssitzung vom 14.11.2024 wur de die Neuüberplanung eines Teilbereiches des Bebauungsplanes „Auf der Halde“ ( hier: nordöstlicher Teil) beschlossen.;
2024-12-12;Marktgemeinderat;6;Auftragsvergabe für Dienstleistungen und Pflege der Friedhofsanlage (Friedhofswärter) - Beschlussfassung (beschließend);beschließend vorgesehen;1;Vor dem Hintergrund, dass zurzeit eine genaue Entwi cklung der Grundsteueraufkommen in Grundsteuer A und B für 202 5 nicht abschätzbar sind, schlug die Finanzverwaltung vor, die Hebesätze für das Jahr 2025 gleichbleibend zu belassen und für das Jahr 2026 nach Einpflege aller Schätzungen, Korrekturen und Neuanlagen im Dezember 2025 neu über die Hebesätze zu beraten. Der Marktgemeinderat beschloss einstimmig die Satzun;einstimmig
2024-12-12;Marktgemeinderat;7;"Kommunales Unternehmensrecht Art. 61 Abs. 2 Satz 2 GO; Überprüfung der Privatisierungsklausel - Beschlussfassung";kein beschließender TOP-Titel;1;Dezember 2024 Festsetzung der Grundsteuerhebesätze (Hebesatzung) Nach dem Urteil des Bundesverfassungsgerichtes zur Verfassungswidrigkeit der bisherigen Bemessungsgrundlage zur Berechnung der G rundsteuer müssen die Kommunen nunmehr mit Wirkung zum 01.;
2024-12-12;Marktgemeinderat;8;Genehmigung Zulegungsvertrag Alfred und Erna Marie Matthes Stiftung - Beschlussfassung (beschließend);beschließend vorgesehen;1;- Übernahme von Pflegearbeiten an den Grünanlagen, Asphaltarbeiten, Bankettarbeiten und Straßensanierungen durch private Dritte - Übernahme von Winterdienstarbeiten durch private Dritte - Auslagerung des touristischen Unternehmensbereiches des Marktes Oberstaufen auf den zum 01.;
2024-12-12;Marktgemeinderat;9;"Marktkasse: Abberufung stv. Kassenverwalterin; Bestellung stv. Kassenverwalterin - Beschlussfassung (beschließend)";beschließend vorgesehen;1;;
2024-12-12;Marktgemeinderat;10;Sachstandsbericht IT-Sicherheit und Datenschutz beim Markt Oberstaufen (informativ);kein beschließender TOP-Titel;1;Aus der Sitzung des Marktgemeinderates am 12. Dezember 2024 Festsetzung der Grundsteuerhebesätze (Hebesatzung) Nach dem Urteil des Bundesverfassungsgerichtes zur Verfassungswidrigkeit der bisherigen Bemessungsgrundlage zur Berechnung der G rundsteuer müssen die Kommunen nunmehr mit Wirkung zum 01.;
2024-12-12;Marktgemeinderat;11;Genehmigung der letzten öffentlichen Sitzungsniederschrift (beschließend);beschließend vorgesehen;1;;
2024-12-12;Marktgemeinderat;12;Anfragen und Bekanntgaben (informativ);kein beschließender TOP-Titel;1;;
2024-12-02;Tourismusausschuss;1;Anträge zur Tagesordnung;kein beschließender TOP-Titel;0;;
2024-12-02;Tourismusausschuss;2;Genehmigung der letzten öffentlichen Sitzungsniederschrift (beschließend);beschließend vorgesehen;0;;
2024-12-02;Tourismusausschuss;3;"Einblick: Entwicklung Gästeankünfte & Übernachtungen 2024 vor Hintergrund der wegbrechenden Kapazitäten; Ausblick: Entwicklungen 2025 (informativ)";kein beschließender TOP-Titel;0;;
2024-12-02;Tourismusausschuss;4;"Einblick: Marketing & Veranstaltungen 2024; Ausblick: Marketing & Veranstaltungen 2025 insbesondere zu den Themen Winter & Gesundheit (informativ)";kein beschließender TOP-Titel;0;;
2024-12-02;Tourismusausschuss;5;Anfragen und Bekanntgaben;kein beschließender TOP-Titel;0;;
2024-11-27;Bau- und Umweltausschuss;1;Anträge zur Tagesordnung (beschließend);beschließend vorgesehen;0;;
2024-11-27;Bau- und Umweltausschuss;2;Bauanträge (beschließend);beschließend vorgesehen;0;;
2024-11-27;Bau- und Umweltausschuss;2.1;"Argenstraße 24, Fl.-Nr. 409/15, Gemarkung Oberstaufen; Wohnungsumbau und Nutzungsänderung zu einer Ferienwohnung (beschließend)";beschließend vorgesehen;0;;
2024-11-27;Bau- und Umweltausschuss;2.2;"Immenstädter Straße 12, Fl.-Nr. 268/4, Gemarkung Oberstaufen; Nutzungsänderung Wohnung zu Ferienwohnung (beschließend)";beschließend vorgesehen;0;;
2024-11-27;Bau- und Umweltausschuss;2.3;"Burgangerweg 3, Fl.-Nr. 721, Gemarkung Thalkirchdorf; Ersatzbau Wohnhaus mit 2 Wohneinheiten und Carport (beschließend)";beschließend vorgesehen;0;;
2024-11-27;Bau- und Umweltausschuss;2.4;"Hochsträß 5, Fl.-Nr. 1642, Gemarkung Oberstaufen; Umnutzung der Wohnung zu einer Ferienwohnung (beschließend)";beschließend vorgesehen;0;;
2024-11-27;Bau- und Umweltausschuss;2.5;"Höfen 2, Fl.-Nrn. 302, 303, Gemarkung Aach i. Allg.; Teilabbruch des ehem. landw. Anwesens; Erweiterung der Wohnung 2 im OG m. Einbau einer Außentreppe; Einbau einer 4. Wohnung im DG mit Einbau eines Balkons; Einbau einer Garage (beschließend)";beschließend vorgesehen;0;;
2024-11-27;Bau- und Umweltausschuss;2.6;"Im Dorf 35, Fl.-Nr. 774/4, 775 Gem. Aach i. Allg.; Gebäudesanierung mit Teilabbruch und Wiederaufbau, Erneuerung d. Daches, Ausbau d. Tenne sowie zusätzl. Einbau v. 3 Wohneinheiten; 3 dauerhaft vermietete u. einer selbstgenutzten Wohneinheiten (Bauantrag) (beschließend)";beschließend vorgesehen;0;;
2024-11-27;Bau- und Umweltausschuss;2.7;"In Pfalzen 1, Fl.-Nr. 376/6 Gem. Oberstaufen; Umbau ""Gästehaus Schmid"" zum Mehrfamilienhaus; Errichtung einer Doppelgarage (beschließend)";beschließend vorgesehen;0;;
2024-11-27;Bau- und Umweltausschuss;2.8;"Zur Linde 13, Fl.-Nr. 894/7 Gem. Oberstaufen; Zubau Carport mit Abstellraum (beschließend)";beschließend vorgesehen;0;;
2024-11-27;Bau- und Umweltausschuss;3;Bauvoranfragen;kein beschließender TOP-Titel;0;;
2024-11-27;Bau- und Umweltausschuss;3.1;"Salzstraße 41, Fl.-Nrn. 661 und 664/9, Gemarkung Thalkirchdorf; Abriss des Bestandsgebäudes und Neuerrichtung von 8 Doppelhaushälften (informativ)";kein beschließender TOP-Titel;0;;
2024-11-27;Bau- und Umweltausschuss;4;Auftragsvergaben (beschließend);beschließend vorgesehen;0;;
2024-11-27;Bau- und Umweltausschuss;5;"Vollzug Bay.StrWG; (informativ)";kein beschließender TOP-Titel;0;;
2024-11-27;Bau- und Umweltausschuss;5.1;"Vollzug BayStrWG; Öffentlicher Feld- und Waldweg ""Von Dorner Hinterreute Richtung Brögerloch"" (Blatt 22 OB) - Einziehung eines Teilstückes";kein beschließender TOP-Titel;0;;
2024-11-27;Bau- und Umweltausschuss;5.2;"Vollzug BayStrWG; Einziehung eines beschränkt-öffentlichen Fußweges: Weg nach Berg (Blatt 12 Ob) (beschließend)";beschließend vorgesehen;0;;
2024-11-27;Bau- und Umweltausschuss;5.3;"Vollzug des BayStrWG; Bahnhofstraße - beschränkt öffentlicher Weg (Fußgängerbereich) - Einziehung einer Teilfläche (Blatt 24 Ob) (beschließend)";beschließend vorgesehen;0;;
2024-11-27;Bau- und Umweltausschuss;5.4;"Vollzug des BayStrWG; Straße in Kalzhofen (Blatt 7 Ob) - Abstufung von Gemeindeverbindungsstraße zur Ortsstraße";kein beschließender TOP-Titel;0;;
2024-11-27;Bau- und Umweltausschuss;5.5;"Vollzug des BayStrWG; Widmung eines beschränkt-öffentlichen Weges - Fußweges - zwischen Haus des Gastes und Lindauer Straße";kein beschließender TOP-Titel;0;;
2024-11-27;Bau- und Umweltausschuss;6;Container zur Unterbringung von Obdachlosen, Bauantrag, Anschaffung und Errichtung - Beschlussfassung (beschließend);beschließend vorgesehen;0;;
2024-11-27;Bau- und Umweltausschuss;7;Genehmigung der letzten öffentlichen Sitzungsniederschrift (beschließend);beschließend vorgesehen;0;;
2024-11-27;Bau- und Umweltausschuss;8;Anfragen und Bekanntgaben (informativ);kein beschließender TOP-Titel;0;;
2024-11-27;Bau- und Umweltausschuss;8.1;"Stadt Immenstadt; Evaluierung und Fortschreibung der ""Vorbereitenden Untersuchung Bühl am Alpsee"" (informativ)";kein beschließender TOP-Titel;0;;
2024-11-27;Bau- und Umweltausschuss;8.2;Neuordnung der Hausnummern im Ortsteil Vorderreute (informativ);kein beschließender TOP-Titel;0;;
2024-11-18;Schulverbandsversammlung;1;Anträge zur Tagesordnung (beschließend);beschließend vorgesehen;0;;
2024-11-18;Schulverbandsversammlung;2;Bekanntgabe der Jahresrechnung 2023 – Beschlussfassung (beschließend);beschließend vorgesehen;0;;
2024-11-18;Schulverbandsversammlung;3;Digitalisierung Amtsblatt Landratsamt Oberallgäu - Beschlussfassung (beschließend);beschließend vorgesehen;0;;
2024-11-18;Schulverbandsversammlung;4;Ganztagsausbau 2026 (beschließend);beschließend vorgesehen;0;;
2024-11-18;Schulverbandsversammlung;4.1;"Mögliche Betreuungsformen in der Ganztagsbetreuung; Festlegung der Betreuungsform - Beschlussfassung (informativ)";kein beschließender TOP-Titel;0;;
2024-11-18;Schulverbandsversammlung;4.2;Beschaffung eines Musterklassenzimmers - Beschlußfassung (beschließend);beschließend vorgesehen;0;;
2024-11-18;Schulverbandsversammlung;4.3;Festlegung des Raumbedarfes für die Ganztagsbetreuung - Beschlußfassung (beschließend);beschließend vorgesehen;0;;
2024-11-18;Schulverbandsversammlung;4.4;Auftragsvergabe zum VGV-Verfahren - Beschlußfassung (beschließend);beschließend vorgesehen;0;;
2024-11-18;Schulverbandsversammlung;5;Anschaffung mobiler Leihgeräte - Beschlußfassung (beschließend);beschließend vorgesehen;0;;
2024-11-18;Schulverbandsversammlung;6;Mietpreis Turnhalle für Gästemannschaften - Beschlußfassung (beschließend);beschließend vorgesehen;0;;
2024-11-18;Schulverbandsversammlung;7;Vertrag mit Profimannschaften über die Rasensportanlage - Informativ (informativ);kein beschließender TOP-Titel;0;;
2024-11-18;Schulverbandsversammlung;8;Anfragen und Bekanntgaben (informativ);kein beschließender TOP-Titel;0;;
2024-11-18;Schulverbandsversammlung;9;Genehmigung der letzten öffentlichen Sitzungsniederschrift;kein beschließender TOP-Titel;0;;
2024-11-14;Marktgemeinderat;1;Anträge zur Tagesordnung (beschließend);beschließend vorgesehen;1;;
2024-11-14;Marktgemeinderat;2;Bauleitplanung (beschließend);beschließend vorgesehen;1;;
2024-11-14;Marktgemeinderat;2.1;Diskussion und Genehmigung der Fassadengestaltung und Werbeanlage des künftigen Schlossberg Resort im Rahmen des vorhabenbezogenen Bebauungsplanes- Beschlussfassung (beschließend);beschließend vorgesehen;1;November 2024 Diskussion und Genehmigung der Fassadengestaltung u nd Werbeanlagen des künftigen Schlossberg Resort im Rahmen des vorhabenbezogenen Bebauungsplanes Nachdem in der Oktober-Sitzung des Marktgemeinderat es eine weitere Überarbeitung der Fassade von den Architekten gefordert wurde, stellt en Vertreter von Bauherr und Planungsbüro in dieser Sitzung die überarbeitete Fassadengestaltung vor: Der Marktgemeinde;
2024-11-14;Marktgemeinderat;2.2;"Bekanntgabe des Durchführungsvertrages zum vorhabenbezogenen Bebauungsplan ""Schlossberg Resort"" - informativ (informativ)";kein beschließender TOP-Titel;1;November 2024 Diskussion und Genehmigung der Fassadengestaltung u nd Werbeanlagen des künftigen Schlossberg Resort im Rahmen des vorhabenbezogenen Bebauungsplanes Nachdem in der Oktober-Sitzung des Marktgemeinderat es eine weitere Überarbeitung der Fassade von den Architekten gefordert wurde, stellt en Vertreter von Bauherr und Planungsbüro in dieser Sitzung die überarbeitete Fassadengestaltung vor: Der Marktgemeinde;
2024-11-14;Marktgemeinderat;2.3;"Satzungsbeschluss zum vorhabenbezogenen Bebauungsplan ""Schlossberg Resort"" (beschließend)";beschließend vorgesehen;1;November 2024 Diskussion und Genehmigung der Fassadengestaltung u nd Werbeanlagen des künftigen Schlossberg Resort im Rahmen des vorhabenbezogenen Bebauungsplanes Nachdem in der Oktober-Sitzung des Marktgemeinderat es eine weitere Überarbeitung der Fassade von den Architekten gefordert wurde, stellt en Vertreter von Bauherr und Planungsbüro in dieser Sitzung die überarbeitete Fassadengestaltung vor: Der Marktgemeinde;
2024-11-14;Marktgemeinderat;2.4;Sachstandsbericht Wohnraumbedarfsumfrage (informativ);kein beschließender TOP-Titel;1;Sachstandsbericht Wohnraumbedarfsumfrage Sachstandsbericht zur frühzeitigen Beteiligung Träg er öffentlicher Belange bei Überplanung des Bebauungsplanes „Auf der Halde“ in Wiedemannsdorf und weiteres Vorgehen Bereits seit längerem befasst sich der Marktgemeind erat mit der Überarbeitung des Bebauungsplanes „Auf der Halde“ in Wiedemannsdorf, um den Einheimischen weitere Bauplätze anbieten zu können.;
2024-11-14;Marktgemeinderat;2.5;"Sachstandsbericht zur frühzeitigen Beteiligung Träger öffentlicher Belange bei Überplanung des Bebauungsplanes ""Auf der Halde"" in Wiedemannsdorf und weiteres Vorgehen - Beschlussfassung (beschließend)";beschließend vorgesehen;1;November 2024 Diskussion und Genehmigung der Fassadengestaltung u nd Werbeanlagen des künftigen Schlossberg Resort im Rahmen des vorhabenbezogenen Bebauungsplanes Nachdem in der Oktober-Sitzung des Marktgemeinderat es eine weitere Überarbeitung der Fassade von den Architekten gefordert wurde, stellt en Vertreter von Bauherr und Planungsbüro in dieser Sitzung die überarbeitete Fassadengestaltung vor: Der Marktgemeinde;
2024-11-14;Marktgemeinderat;3;Ortsrecht (beschließend);beschließend vorgesehen;1;;
2024-11-14;Marktgemeinderat;3.1;Neuerlass der Stellplatzsatzung - Beschlussfassung (beschließend);beschließend vorgesehen;1;Neuerlass der Stellplatzsatzung Nach einem Termin im Landratsamt wurde der Verwaltu ng empfohlen, die neue Baugesetznovelle der Bayerischen Bauordnung abzuwarten. Hier wird sich speziell § 47 der Stellplatzverordnung ändern. Das Gesetz soll wohl z um 1. Juni 2025 in Kraft treten. Daher wurde der Neuerlass der Stellplatzsatzung einstimmig von der Tagesordnung abgesetzt.;einstimmig
