datum;gremium;top;titel;beschlussstatus;berichte;beschlusshinweis;abstimmungshinweis
2026-06-24;Bau- und Umweltausschuss;7.1;"Fl. Nr. 1439/0, Gemarkung Aach i. Allgäu; Antrag auf Erteilung einer Erlaubnis zur Rodung (informativ)";kein beschließender TOP-Titel;0;;
2026-06-11;Marktgemeinderat;1;Vereidigung von Herrn M. R. als Mitglied des Marktgemeinderates Oberstaufen (informativ);kein beschließender TOP-Titel;1;;
2026-06-11;Marktgemeinderat;2;Anträge zur Tagesordnung (beschließend);beschließend vorgesehen;1;;
2026-06-11;Marktgemeinderat;3;"Neubau Feuerwehrhaus; Standortanalyse - informativ (informativ)";kein beschließender TOP-Titel;1;"Neubau Feuerwehrhaus; Vorstellung Ergebnisse der Standortanalyse Im Rahmen des bereits Ende des Jahres 2024 verabsch iedeten Feuerwehrbedarfsplanes wurde deutlich, dass das Feu erwehrgerätehaus in Oberstaufen nicht mehr den aktuellen Anforderungen standhalten kann und eine Ertüchtigung des alten Gebäudes auf die neuen Stand ards faktisch nicht möglich ist.";
2026-06-11;Marktgemeinderat;4;Änderung des Orts- und Gemeindeverfassungsrechts (beschließend);beschließend vorgesehen;1;Änderung des Orts- und Gemeindeverfassungsrechts Der Marktgemeinderat beschloss mit 16:1 Stimmen die Betriebssatzung des Tourismus Eigenbetrieb Oberstaufen (TEO). Die Betriebssatzung tritt zum 01.;16:1
2026-06-11;Marktgemeinderat;4.1;Änderung der Betriebssatzung für den Tourismus Eigenbetrieb Oberstaufen - Beschlussfassung (beschließend);beschließend vorgesehen;1;Änderung des Orts- und Gemeindeverfassungsrechts Der Marktgemeinderat beschloss mit 16:1 Stimmen die Betriebssatzung des Tourismus Eigenbetrieb Oberstaufen (TEO). Die Betriebssatzung tritt zum 01.;16:1
2026-06-11;Marktgemeinderat;4.2;Änderung der Kostensatzung - Beschlussfassung (beschließend);beschließend vorgesehen;1;Änderung des Orts- und Gemeindeverfassungsrechts Der Marktgemeinderat beschloss mit 16:1 Stimmen die Betriebssatzung des Tourismus Eigenbetrieb Oberstaufen (TEO). Die Betriebssatzung tritt zum 01.;16:1
2026-06-11;Marktgemeinderat;5;Bestellung von Beauftragten (beschließend);beschließend vorgesehen;1;;
2026-06-11;Marktgemeinderat;5.1;Bestellung eines Jugendbeauftragten - Beschlussfassung (beschließend);beschließend vorgesehen;1;;
2026-06-11;Marktgemeinderat;5.2;Bestellung eines Familienbeauftragten - Beschlussfassung (beschließend);beschließend vorgesehen;1;;
2026-06-11;Marktgemeinderat;5.3;Bestellung eines Seniorenbeauftragten - Beschlussfassung (beschließend);beschließend vorgesehen;1;;
2026-06-11;Marktgemeinderat;6;Entsendung von Erstem Bürgermeister M. B. in den Aufsichtsrat des SWW Oberallgäu - Beschlussfassung (beschließend);beschließend vorgesehen;1;;
2026-06-11;Marktgemeinderat;7;Sachstand IT-Sicherheit beim Markt, Beschaffung einer erweiteren IT-Sicherheitsplattform - informativ (informativ);kein beschließender TOP-Titel;1;;
2026-06-11;Marktgemeinderat;8;Tekturplanung Hugo-von-Königsegg-Straße 12 - Beschlussfassung (beschließend);beschließend vorgesehen;1;;
