datum;uhrzeit;kalenderwoche;gremium;sitzungsnummer;tagesordnungspunkte;protokoll_veroeffentlicht;dokumente
2025-11-18;19:30;47;Ortschaftsrat Reute-Gaisbeuren;43;0;nein;0
2025-11-19;19:00;47;Ortschaftsrat Haisterkirch;27;0;nein;0
2025-11-20;19:00;47;Ortschaftsrat Mittelurbach;28;0;nein;0
2025-11-25;18:01;48;Verwaltungsausschuss;28;6;ja;8
2025-12-01;18:01;49;Gemeinderat;51;14;ja;14
2025-12-08;17:01;50;Gemeinderat;52;9;ja;14
2025-12-16;19:30;51;Ortschaftsrat Reute-Gaisbeuren;44;0;nein;0
2026-01-12;18:00;3;Ortschaftsrat Haisterkirch;28;0;nein;0
2026-01-12;19:00;3;Ortschaftsrat Mittelurbach;29;0;nein;0
2026-01-13;18:00;3;Ortschaftsrat Michelwinnaden;27;0;nein;0
2026-01-13;19:00;3;Ortschaftsrat Reute-Gaisbeuren;45;0;nein;0
2026-01-19;18:02;4;Ausschuss für Umwelt, Technik und Nachhaltigkeit;11;5;ja;7
2026-01-20;18:00;4;Verwaltungsausschuss;29;6;ja;9
2026-02-02;18:01;6;Gemeinderat;1;20;ja;29
2026-02-03;17:32;6;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;16;2;ja;4
2026-02-24;19:30;9;Ortschaftsrat Reute-Gaisbeuren;46;0;nein;0
2026-03-02;18:01;10;Gemeinderat;2;12;ja;10
2026-03-04;19:30;10;Ortschaftsrat Haisterkirch;29;0;nein;0
2026-03-10;18:00;11;Ortschaftsrat Michelwinnaden;28;0;nein;0
2026-03-12;19:00;11;Ortschaftsrat Mittelurbach;30;0;nein;0
2026-03-17;19:30;12;Ortschaftsrat Reute-Gaisbeuren;47;0;nein;0
2026-03-23;18:01;13;Ausschuss für Umwelt, Technik und Nachhaltigkeit;12;10;ja;10
2026-03-24;18:00;13;Verwaltungsausschuss;30;4;ja;4
2026-04-13;18:50;16;Gemeinderat;3;15;ja;15
2026-04-15;17:49;16;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;17;3;ja;5
2026-04-15;19:30;16;Ortschaftsrat Haisterkirch;30;0;nein;0
2026-04-21;18:00;17;Ortschaftsrat Michelwinnaden;29;0;nein;0
2026-04-21;19:30;17;Ortschaftsrat Reute-Gaisbeuren;48;0;nein;0
2026-04-23;19:00;17;Ortschaftsrat Mittelurbach;31;0;nein;0
2026-04-27;18:00;18;Ausschuss für Umwelt, Technik und Nachhaltigkeit;13;4;ja;5
2026-04-28;18:01;18;Verwaltungsausschuss;31;3;ja;3
2026-05-11;19:15;20;Gemeinderat;4;14;ja;13
2026-05-19;19:30;21;Ortschaftsrat Reute-Gaisbeuren;49;0;nein;0
2026-05-20;19:30;21;Ortschaftsrat Haisterkirch;31;0;nein;0
2026-06-09;18:04;24;Verwaltungsausschuss;32;5;ja;5
2026-06-23;19:30;26;Ortschaftsrat Reute-Gaisbeuren;50;0;nein;0
2026-06-25;19:00;26;Ortschaftsrat Mittelurbach;32;0;nein;0
2026-06-26;09:00;26;Baumkommission;6;0;nein;0
2026-06-29;18:00;27;Gemeinderat;5;9;ja;7
2026-06-30;19:00;27;Ortschaftsrat Michelwinnaden;30;0;nein;0
2026-07-01;19:00;27;Ortschaftsrat Haisterkirch;32;0;nein;0
2026-07-06;18:01;28;Ausschuss für Umwelt, Technik und Nachhaltigkeit;14;10;ja;10
2026-07-20;17:04;30;Gemeinderat;6;14;ja;13
2026-07-21;17:35;30;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;18;4;ja;6
2026-07-28;17:30;31;Ortschaftsrat Reute-Gaisbeuren;51;0;nein;0
2026-07-30;18:30;31;Ortschaftsrat Mittelurbach;33;0;nein;0
2026-08-04;18:00;32;Ortschaftsrat Michelwinnaden;31;0;nein;0
