datum;gremium;nummer;titel;vorlage
2024-01-22;Ausschuss für Umwelt und Technik;1;Bekanntgabe der in nichtöffentlicher Sitzung getroffenen Entscheidung/en;
2024-01-22;Ausschuss für Umwelt und Technik;2;Haushaltsplan und Haushaltssatzung 2024 – Große Kreisstadt Bad Waldsee;SV-252/2023
2024-01-22;Ausschuss für Umwelt und Technik;3;Wirtschaftsplan 2024 - Eigenbetrieb städt. Abwasserbeseitigung;SV-249/2023
2024-01-22;Ausschuss für Umwelt und Technik;4;Verschiedenes;
2024-01-22;Ausschuss für Umwelt und Technik;5;Bekanntgaben;
2024-01-23;Verwaltungsausschuss;1;Bekanntgabe der in nichtöffentlicher Sitzung getroffenen Entscheidung/en;
2024-01-23;Verwaltungsausschuss;2;Haushaltsplan und Haushaltssatzung 2024 – Große Kreisstadt Bad Waldsee;SV-252/2023
2024-01-23;Verwaltungsausschuss;3;Wirtschaftsplan 2024 - Alten- und Pflegeheim Spital zum Heiligen Geist;SV-251/2023
2024-01-23;Verwaltungsausschuss;4;Verschiedenes;
2024-01-23;Verwaltungsausschuss;5;Bekanntgaben;
2024-01-29;Gemeinderat;1;Bekanntgabe der in nichtöffentlicher Sitzung getroffenen Entscheidung/en;
2024-01-29;Gemeinderat;2;Haushaltsplan und Haushaltssatzung 2024 – Große Kreisstadt Bad Waldsee;SV-252/2023
2024-01-29;Gemeinderat;3;Wirtschaftspläne mit Finanzplanung für das Wirtschaftsjahr 2024;
2024-01-29;Gemeinderat;4;Annahme und Vermittlung von Spenden und Zuwendungen aus dem 2. Halbjahr 2023;SV-5/2024
2024-01-29;Gemeinderat;5;Beschaffung von Strom und Gas für den Lieferzeitraum ab dem 01.01.2025;SV-7/2024
2024-01-29;Gemeinderat;6;Erweiterung des Gymnasiums;SV-2/2024
2024-01-29;Gemeinderat;7;Verschiedenes;
2024-01-29;Gemeinderat;8;Bekanntgaben;
2024-02-26;Gemeinderat;1;Bekanntgabe der in nichtöffentlicher Sitzung getroffenen Entscheidung/en;
2024-02-26;Gemeinderat;2;Informationen des Oberbürgermeisters;
2024-02-26;Gemeinderat;3;Einwohnerfragestunde;
2024-02-26;Gemeinderat;4;"Bebauungsplan ""2. Erweiterung Gewerbepark Wasserstall"" und die örtlichen Bauvorschriften hierzu, Gemarkung Waldsee mit 2. Änderung des Bebauungsplans ""1. Erweiterung Gewerbepark Wasserstall"" und 3. Änderung des Bebauungsplans ""Gewerbepark Wasserstall"", Gemarkung Waldsee - Abwägung und Satzungsbeschluss";SV-3/2024
2024-02-26;Gemeinderat;5;12. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die geplante gewerbliche Baufläche im Bereich Wasserstall, Gemarkung Waldsee - Abwägung und Feststellungsbeschluss;SV-4/2024
2024-02-26;Gemeinderat;6;Gewerbepark Wasserstall (2. Erweiterung) - Durchführungsbeschluss;SV-26/2024
2024-02-26;Gemeinderat;7;"Baugebiet ""Drei Eichen VI"" – Abwicklung über einen Erschließungsträger";SV-24/2024
2024-02-26;Gemeinderat;8;Sanierung Kapelle Osterhofen - Durchführungsbeschluss;SV-20/2024
2024-02-26;Gemeinderat;9;Strand- und Freibad: Einführung eines ermäßigten Tarifs für Rentner und Pensionäre;SV-1/2024
2024-02-26;Gemeinderat;10;Verkaufsoffener Sonntag im Frühling: Erweiterung des Anlasses um den Bad Waldseer Kultursonntag und Änderung der Satzung;SV-246/2023
2024-02-26;Gemeinderat;11;Kreditaufnahme für den Eigenbetrieb Städt. Abwasserbeseitigung;SV-29/2024
2024-02-26;Gemeinderat;12;Anpassung der Stellplatzablösebeträge;SV-224/2023
2024-02-26;Gemeinderat;13;Anpassung der städtischen Förderrichtlinien im Rahmen der Denkmal- und Stadtbildpflege;SV-225/2023
2024-02-26;Gemeinderat;14;Ehrung eines Stadtrates und eines Ortsvorstehers;
2024-02-26;Gemeinderat;15;Verschiedenes;
2024-02-26;Gemeinderat;16;Bekanntgaben;
2024-02-27;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;1;12. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die geplante gewerbliche Baufläche im Bereich Wasserstall, Gemarkung Waldsee - Abwägung und Feststellungsbeschluss;SV-4/2024
2024-02-27;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;2;15. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die Wohnbaufläche im Bereich Waldseer Straße, Gemarkung Mittelurbach - Aufstellungsbeschluss;SV-62/2023
2024-02-27;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;3;Verschiedenes;
2024-03-04;Ausschuss für Umwelt und Technik;1;Bekanntgabe der in nichtöffentlicher Sitzung getroffenen Entscheidung/en;
2024-03-04;Ausschuss für Umwelt und Technik;2;"3. Änderung des vorhabenbezogenen Bebauungsplans ""Großflächiger Einzelhandel an der Steinenberger Straße 1"" und die örtlichen Bauvorschriften hierzu, Gemarkung Waldsee - Entwurfsbeschluss";SV-6/2024
2024-03-04;Ausschuss für Umwelt und Technik;3;"Bebauungsplan ""Rauhe Äcker"" und die örtlichen Bauvorschriften hierzu, Gemarkung Mittelurbach""";SV-30/2024
2024-03-04;Ausschuss für Umwelt und Technik;4;"Bebauungsplan ""Drei-Eichen VI"" und die örtlichen Bauvorschriften hierzu, Gemarkungen Reute und Gaisbeuren";SV-28/2024
2024-03-04;Ausschuss für Umwelt und Technik;5;"Baugebiet ""Drei-Eichen-VI"" – Erschließung - Planungsbeschluss";SV-27/2024
2024-03-04;Ausschuss für Umwelt und Technik;6;"Baugebiet ""Drei Eichen VI"" – Abwassertechnische Erschließung – Vergabe Planungsleistungen";SV-36/2024
2024-03-04;Ausschuss für Umwelt und Technik;7;Verschiedenes;
2024-03-04;Ausschuss für Umwelt und Technik;8;Bekanntgaben;
2024-03-05;Verwaltungsausschuss;1;Bekanntgabe der in nichtöffentlicher Sitzung getroffenen Entscheidung/en;
2024-03-05;Verwaltungsausschuss;2;Verschiedenes;
2024-03-05;Verwaltungsausschuss;3;Bekanntgaben;
2024-03-18;Gemeinderat;1;Bekanntgabe der in nichtöffentlicher Sitzung getroffenen Entscheidung/en;
2024-03-18;Gemeinderat;2;Informationen des Oberbürgermeisters;
2024-03-18;Gemeinderat;3;"Vorhabenbezogener Bebauungsplan ""Abfahrt B 30 Nord"" und die örtlichen Bauvorschriften hierzu, Gemarkung Waldsee - Abwägung und Satzungsbeschluss";SV-84/2023
2024-03-18;Gemeinderat;4;Verlängerung der Durchführungsfrist des Sanierungsgebietes „Altstadt III“;SV-42/2024
2024-03-18;Gemeinderat;5;Verschiedenes;
2024-03-18;Gemeinderat;6;Bekanntgaben;
2024-04-15;Ausschuss für Umwelt und Technik;1;Bekanntgabe der in nichtöffentlicher Sitzung getroffenen Entscheidung/en;
2024-04-15;Ausschuss für Umwelt und Technik;2;"Bebauungsplan ""Holzstraße"" und die örtlichen Bauvorschriften hierzu sowie 1. Änderung des Bebauungsplanes ""Teichäcker II"", Gemarkung Waldsee - Abwägung und Satzungsbeschluss";SV-32/2024
2024-04-15;Ausschuss für Umwelt und Technik;3;"Vorhabenbezogener Bebauungsplan ""Agri-Solarpark Sankt Josef"" und die örtlichen Bauvorschriften hierzu, Gemarkung Mittelurbach - Aufstellungsbeschluss";SV-33/2024
2024-04-15;Ausschuss für Umwelt und Technik;4;"16. Änderung des Flächennutzungsplans der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die Sonderbaufläche ""Agri-Solarpark Sankt Josef"", Gemarkung Mittelurbach - Aufstellungsbeschluss";SV-34/2024
2024-04-15;Ausschuss für Umwelt und Technik;5;"17. Änderung des Flächennutzungsplans der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute im Bereich der ""2. Änderung des Sport- und Gesundheitspark Hopfenweiler"", Gemarkung Waldsee - Aufstellungsbeschluss";SV-35/2024
2024-04-15;Ausschuss für Umwelt und Technik;6;"18. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die Sonderbaufläche großflächiger Einzelhandel im Bereich des ""Lebensmittelmarkts"" an der Roßberger Straße, Gemarkung Bergatreute - Aufstellungsbeschluss";SV-43/2024
2024-04-15;Ausschuss für Umwelt und Technik;7;Verschiedenes;
2024-04-15;Ausschuss für Umwelt und Technik;8;Bekanntgaben;
2024-04-22;Gemeinderat;1;Bekanntgabe der in nichtöffentlicher Sitzung getroffenen Entscheidung/en;
2024-04-22;Gemeinderat;2;Informationen des Oberbürgermeisters;
2024-04-22;Gemeinderat;3;"Sanierung Bad Waldsee ""Altstadt III"" – Sanierungssatzung – Verlängerung der Durchführungsfrist";SV-63/2024
2024-04-22;Gemeinderat;4;"Bebauungsplan ""Holzstraße"" und die örtlichen Bauvorschriften hierzu sowie 1. Änderung des Bebauungsplanes ""Teichäcker II"", Gemarkung Waldsee - Abwägung und Satzungsbeschluss";SV-32/2024
2024-04-22;Gemeinderat;5;"16. Änderung des Flächennutzungsplans der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die Sonderbaufläche ""Agri-Solarpark Sankt Josef"", Gemarkung Mittelurbach - Aufstellungsbeschluss";SV-34/2024
2024-04-22;Gemeinderat;6;"17. Änderung des Flächennutzungsplans der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute im Bereich der ""2. Änderung des Sport- und Gesundheitspark Hopfenweiler"", Gemarkung Waldsee - Aufstellungsbeschluss";SV-35/2024
2024-04-22;Gemeinderat;7;"18. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die Sonderbaufläche großflächiger Einzelhandel im Bereich des ""Lebensmittelmarkts"" an der Roßberger Straße, Gemarkung Bergatreute - Aufstellungsbeschluss";SV-43/2024
2024-04-22;Gemeinderat;8;Stellungnahme zum Teilregionalplan Energie;SV-62/2024
2024-04-22;Gemeinderat;9;Kommunale Wärmeplanung der Stadt Bad  Waldsee;SV-200/2023
2024-04-22;Gemeinderat;10;Förderrichtlinien Anreizprogramme Klimaschutz 2024;SV-61/2024
2024-04-22;Gemeinderat;11;"Umlegung ""Hirschhof"" - Auflösung des Umlegungsausschusses „Hirschhof“";SV-59/2024
2024-04-22;Gemeinderat;12;Schaffung weiterer Kindergartenplätze;SV-67/2024
2024-04-22;Gemeinderat;13;Vertrag mit der Katholischen Kirchenpflege Reute für die Förderung und den Betrieb des kirchlichen Kindergartens im Gebäude Friedenslinde 4 in Reute;SV-75/2024
2024-04-22;Gemeinderat;14;ÖPNV-Konzeption 2024 ff.;SV-248/2023
2024-04-22;Gemeinderat;15;Änderung der Satzung über die Benutzung von Obdachlosen- und Flüchtlingsunterkünften;SV-41/2024
2024-04-22;Gemeinderat;16;Verabschiedung Herr Martin Gratz;
2024-04-22;Gemeinderat;17;Verschiedenes;
2024-04-22;Gemeinderat;18;Bekanntgaben;
2024-04-23;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;1;"16. Änderung des Flächennutzungsplans der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die Sonderbaufläche ""Agri-Solarpark Sankt Josef"", Gemarkung Mittelurbach - Aufstellungsbeschluss";SV-34/2024
2024-04-23;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;2;"17. Änderung des Flächennutzungsplans der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute im Bereich der ""2. Änderung des Sport- und Gesundheitspark Hopfenweiler"", Gemarkung Waldsee - Aufstellungsbeschluss";SV-35/2024
2024-04-23;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;3;"18. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die Sonderbaufläche großflächiger Einzelhandel im Bereich des ""Lebensmittelmarkts"" an der Roßberger Straße, Gemarkung Bergatreute - Aufstellungsbeschluss";SV-43/2024
2024-04-23;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;4;Verschiedenes;
2024-05-13;Ausschuss für Umwelt und Technik;1;Bekanntgabe der in nichtöffentlicher Sitzung getroffenen Entscheidung/en;
2024-05-13;Ausschuss für Umwelt und Technik;2;Modernisierung des Bahnübergangs am Kornblumenweg in Mittelurbach durch die DB - Variantenauswahl;SV-78/2024
2024-05-13;Ausschuss für Umwelt und Technik;3;Kläranlage Bad Waldsee: Durchführungsbeschluss für die Erweiterung und Sanierung der mechanischen Stufe;SV-82/2024
2024-05-13;Ausschuss für Umwelt und Technik;4;Jahresabschlüsse der Stadt Bad Waldsee;
2024-05-13;Ausschuss für Umwelt und Technik;5;Verschiedenes;
2024-05-13;Ausschuss für Umwelt und Technik;6;Bekanntgaben;
2024-05-14;Verwaltungsausschuss;1;Bekanntgabe der in nichtöffentlicher Sitzung getroffenen Entscheidung/en;
2024-05-14;Verwaltungsausschuss;2;Jahresabschlüsse der Stadt Bad Waldsee;
2024-05-14;Verwaltungsausschuss;3;Information über den Sachstand der Digitalisierungsmaßnahmen an den städtischen Schulen;SV-81/2024
2024-05-14;Verwaltungsausschuss;4;Integrationsbericht;
2024-05-14;Verwaltungsausschuss;5;Verschiedenes;
2024-05-14;Verwaltungsausschuss;6;Bekanntgaben;
2024-06-03;Gemeinderat;1;Bekanntgabe der in nichtöffentlicher Sitzung getroffenen Entscheidung/en;
2024-06-03;Gemeinderat;2;Informationen des Oberbürgermeisters;
2024-06-03;Gemeinderat;3;Vorstellung des neuen Stadtmarketingmanager;
2024-06-03;Gemeinderat;4;Kläranlage Bad Waldsee: Durchführungsbeschluss für die Erweiterung und Sanierung der mechanischen Stufe;SV-82/2024
2024-06-03;Gemeinderat;5;Jahresabschlüsse Stadt Bad Waldsee;
2024-06-03;Gemeinderat;6;Einsparpotenziale und Maßnahmen zur Erhöhung der Einnahmen - Vorschlag der Haushaltsstrukturkommission;SV-66/2024
2024-06-03;Gemeinderat;7;Sanierung des Eugen-Bolz-Kindergartens;SV-111/2024
2024-06-03;Gemeinderat;8;Information über den Sachstand der Digitalisierungsmaßnahmen an den städtischen Schulen;SV-107/2024
2024-06-03;Gemeinderat;9;Neubau Sporthalle Döchtbühl- Beauftragung Planungsleistungen;SV-69/2024
2024-06-03;Gemeinderat;10;Neubau Erweiterung Gymnasium- Durchführungsbeschluss;SV-68/2024
2024-06-03;Gemeinderat;11;Zuweisung weiterer Aufgabengebiete und Umbenennung des seitherigen Ausschusses für Technik und Umwelt;SV-56/2024
2024-06-03;Gemeinderat;12;Änderung der Hauptsatzung: Zuweisung weiterer Aufgabengebiete und Umbenennung des seitherigen Ausschusses für Technik und Umwelt;SV-57/2024
2024-06-03;Gemeinderat;13;Informationen zum Breitbandausbau;SV-109/2024
2024-06-03;Gemeinderat;14;Verschiedenes;
2024-06-03;Gemeinderat;15;Bekanntgaben;
2024-06-17;Ausschuss für Umwelt und Technik;1;Bekanntgabe der in nichtöffentlicher Sitzung getroffenen Entscheidung/en;
2024-06-17;Ausschuss für Umwelt und Technik;2;"Bebauungsplan ""Am Rädlesbach"" und die örtlichen Bauvorschriften hierzu, Gemarkung Waldsee - Aufstellungsbeschluss";SV-85/2024
2024-06-17;Ausschuss für Umwelt und Technik;3;"Vorhabenbezogener Bebauungsplan ""Agri-Solarpark Sankt Josef"" und die örtlichen Bauvorschriften hierzu, Gemarkung Mittelurbach - Abwägung und Entwurfsbeschluss";SV-87/2024
2024-06-17;Ausschuss für Umwelt und Technik;4;"16. Änderung des Flächennutzungsplans der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die Sonderbaufläche ""Agri-Solarpark Sankt Josef"", Gemarkung Mittelurbach - Abwägung und Entwurfsbeschluss";SV-88/2024
2024-06-17;Ausschuss für Umwelt und Technik;5;"Bebauungsplan ""Drei-Eichen VI"" und die örtlichen Bauvorschriften hierzu, Gemarkungen Reute und Gaisbeuren- Abwägung und Entwurfsbeschluss";SV-89/2024
2024-06-17;Ausschuss für Umwelt und Technik;6;"1. Änderung des Bebauungsplanes ""Drei-Eichen IV"" und die örtlichen Bauvorschriften hierzu, Gemarkung Reute - Abwägung und Entwurfsbeschluss";SV-90/2024
2024-06-17;Ausschuss für Umwelt und Technik;7;"Bebauungsplan ""Rauhe Äcker"" und die örtlichen Bauvorschriften hierzu, Gemarkung Mittelurbach - Abwägung und Entwurfsbeschluss";SV-76/2024
2024-06-17;Ausschuss für Umwelt und Technik;8;15. Änderung des Flächennutzungsplans der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die Wohnbaufläche im Bereich Waldseer Straße, Gemarkung Mittelurbach - Abwägung und Entwurfsbeschluss;SV-92/2024
2024-06-17;Ausschuss für Umwelt und Technik;9;Verschiedenes;
2024-06-17;Ausschuss für Umwelt und Technik;10;Bekanntgaben;
2024-06-18;Verwaltungsausschuss;1;Erwerb einer Skulptur für die Außenanlage des neuen Verwaltungsgebäudes.;SV-120/2024
2024-06-18;Verwaltungsausschuss;2;Verschiedenes;
2024-06-18;Verwaltungsausschuss;3;Bekanntgaben;
2024-07-08;Gemeinderat;1;Bekanntgabe der in nichtöffentlicher Sitzung getroffenen Entscheidung/en;
2024-07-08;Gemeinderat;2;Informationen des Oberbürgermeisters;
2024-07-08;Gemeinderat;3;"16. Änderung des Flächennutzungsplans der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die Sonderbaufläche ""Agri-Solarpark Sankt Josef"", Gemarkung Mittelurbach - Abwägung und Entwurfsbeschluss";SV-88/2024
2024-07-08;Gemeinderat;4;15. Änderung des Flächennutzungsplans der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die Wohnbaufläche im Bereich Waldseer Straße, Gemarkung Mittelurbach - Abwägung und Entwurfsbeschluss;SV-92/2024
2024-07-08;Gemeinderat;5;Integrationsmanagement: Weiterführung ab 2025;SV-124/2024
2024-07-08;Gemeinderat;6;Vorkaufsrechtssatzung Geh- und Radweg zwischen Reute und Gaisbeuren;
2024-07-08;Gemeinderat;7;Feststellen von Hinderungs- bzw. Ablehnungsgründen für den Eintritt in den Gemeinderat;SV-44/2024
2024-07-08;Gemeinderat;8;Verabschiedung der ausscheidenden Gemeinderäte;
2024-07-08;Gemeinderat;9;Ehrung von Gemeinderäten;
2024-07-08;Gemeinderat;10;Verschiedenes;
2024-07-08;Gemeinderat;11;Bekanntgaben;
2024-07-11;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;1;"16. Änderung des Flächennutzungsplans der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die Sonderbaufläche ""Agri-Solarpark Sankt Josef"", Gemarkung Mittelurbach - Abwägung und Entwurfsbeschluss";SV-88/2024
2024-07-11;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;2;15. Änderung des Flächennutzungsplans der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die Wohnbaufläche im Bereich Waldseer Straße, Gemarkung Mittelurbach - Abwägung und Entwurfsbeschluss;SV-92/2024
2024-07-11;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;3;Verschiedenes;
2024-07-15;Gemeinderat;1;Verpflichtung der Mitglieder des Gemeinderates und Bestätigung der Sitzordnung;SV-45/2024
2024-07-15;Gemeinderat;2;Ehrenamtliche Stellvertreter des Oberbürgermeisters;SV-46/2024
2024-07-15;Gemeinderat;3;Besetzen der beschließenden Ausschüsse 1. Verwaltungsausschuss 2. Ausschuss für Umwelt, Technik und Nachhaltigkeit 3. Betriebsausschuss Städt. Rehakliniken;SV-48/2024
2024-07-15;Gemeinderat;4;Bestellen von Mitglieder für 1. Arbeitskreis Kinder, Jugend und Bildung 2. Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute 3. B 30 Ausschuss 4. Kulturbeirat;SV-49/2024
2024-07-15;Gemeinderat;5;Berufen von Mitglieder des Gemeinderates als Vertreter der Stadt in den/in die 1. Ausschuss des Museums- und Heimatvereins 2. Ausschuss der Sportgemeinschaft 3. Baumkommission 4. Arbeitskreis Soziale Hilfen;SV-50/2024
2024-07-15;Gemeinderat;6;Bestellen von Mitgliedern / Aufsichtsräten 1. Aufsichtsräte der Kurbetriebe Bad Waldsee Dienstleistungs-GmbH 2. Mitglieder der Verbandsversammlung des Wasserversorgungsverbandes Obere Schussentalgruppe 3. Empfehlung zur Neubesetzung des Verwaltungsrats des Wasserversorgungverbandes Obere Schussentalgruppe 4. Aufsichtsräte der Stadtwerke Bad Waldsee GmbH;SV-51/2024
2024-07-15;Gemeinderat;7;Bestimmen der Mitglieder der Fraktionsrunde;SV-52/2024
2024-07-15;Gemeinderat;8;Unterzeichnen der Protokollniederschriften;SV-53/2024
2024-07-15;Gemeinderat;9;Verschiedenes;
2024-07-15;Gemeinderat;10;Bekanntgaben;
2024-08-05;Gemeinderat;1;Bekanntgabe der in nichtöffentlicher Sitzung getroffenen Entscheidung/en;
2024-08-05;Gemeinderat;2;Informationen des Oberbürgermeisters;
2024-08-05;Gemeinderat;3;Verpflichtung des noch fehlenden Mitglieds des Gemeinderates;
2024-08-05;Gemeinderat;4;Ortsvorsteher und ihre Stellvertreter;SV-54/2024
2024-08-05;Gemeinderat;5;Straßenbaumaßnahmen an der L 285 zwischen Gaisbeuren und Reute - Zustimmung zu Planungen des Landes und Vergabe von Planungsleistungen für städtische Maßnahmen;SV-127/2024
2024-08-05;Gemeinderat;6;Öffentliche Ausschreibung der Lieferung und Installation von stationären Geschwindigkeitsmessanlagen inklusive entsprechender Auswertungssoftware;
2024-08-05;Gemeinderat;7;Gemeindliches Einvernehmen zum Antrag der Windenergieanlagen in Haisterkirch-Osterhofen;SV-138/2024
2024-08-05;Gemeinderat;8;Vorabinformation zur Vergabe der Bauleistungen im Breitbandausbau;
2024-08-05;Gemeinderat;9;Annahme und Vermittlung von Spenden und Sponsoring aus dem 1. Halbjahr 2024;SV-129/2024
2024-08-05;Gemeinderat;10;Verschiedenes;
2024-08-05;Gemeinderat;11;Bekanntgaben;
2024-09-16;Ausschuss für Umwelt, Technik und Nachhaltigkeit;1;Bekanntgabe der in nichtöffentlicher Sitzung getroffenen Entscheidung/en;
2024-09-16;Ausschuss für Umwelt, Technik und Nachhaltigkeit;2;"3. Änderung des vorhabenbezogenen Bebauungsplans ""Großflächiger Einzelhandel an der Steinenberger Straße 1"" und die örtlichen Bauvorschriften hierzu, Gemarkung Waldsee - Abwägung und Satzungsbeschluss";SV-95/2024
2024-09-16;Ausschuss für Umwelt, Technik und Nachhaltigkeit;3;"Vorhabenbezogener Bebauungsplan ""Agri-Solarpark Sankt Josef"" und die örtlichen Bauvorschriften hierzu, Gemarkung Mittelurbach - Abwägung und Satzungsbeschluss";SV-98/2024
2024-09-16;Ausschuss für Umwelt, Technik und Nachhaltigkeit;4;"16. Änderung des Flächennutzungsplans der Vereinbarten Verwaltungsgemeinschaft Waldsee-Bergatreute für die Sonderbaufläche ""Agri-Solarpark Sankt Josef"", Gemarkung Mittelurbach - Abwägung und Feststellungsbeschluss";SV-99/2024
2024-09-16;Ausschuss für Umwelt, Technik und Nachhaltigkeit;5;"Bebauungsplan ""Rauhe Äcker"" und die örtlichen Bauvorschriften hierzu, Gemarkung Mittelurbach - Abwägung und Satzungsbeschluss";SV-141/2024
2024-09-16;Ausschuss für Umwelt, Technik und Nachhaltigkeit;6;"Bebauungsplan ""Drei-Eichen VI"" und die örtlichen Bauvorschriften hierzu, Gemarkungen Reute und Gaisbeuren- Abwägung und Entwurfsbeschluss";SV-100/2024
2024-09-16;Ausschuss für Umwelt, Technik und Nachhaltigkeit;7;"1. Änderung des Bebauungsplans ""Drei-Eichen IV"" und die örtlichen Bauvorschriften hierzu, Gemarkung Reute - Abwägung und Satzungsbeschluss";SV-101/2024
2024-09-16;Ausschuss für Umwelt, Technik und Nachhaltigkeit;8;"18. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die Sonderbaufläche großflächiger Einzelhandel im Bereich des ""Lebensmittelmarkts"" an der Roßberger Straße, Gemarkung Bergatreute - Abwägung und Entwurfsbeschluss";SV-102/2024
2024-09-16;Ausschuss für Umwelt, Technik und Nachhaltigkeit;9;"Vorhabenbezogener Bebauungsplan ""Frauenbergstraße-Friedhofstraße"" und die örtlichen Bauvorschriften hierzu, Gemarkung Waldsee - Aufstellungsbeschluss";SV-144/2024
2024-09-16;Ausschuss für Umwelt, Technik und Nachhaltigkeit;10;Verschiedenes;
2024-09-16;Ausschuss für Umwelt, Technik und Nachhaltigkeit;11;Bekanntgaben;
2024-09-23;Gemeinderat;1;Bekanntgabe der in nichtöffentlicher Sitzung getroffenen Entscheidung/en;
2024-09-23;Gemeinderat;2;Informationen des Oberbürgermeisters;
2024-09-23;Gemeinderat;3;Einwohnerfragestunde;
2024-09-23;Gemeinderat;4;Ehrungen von Gemeinderäten;
2024-09-23;Gemeinderat;5;"3. Änderung des vorhabenbezogenen Bebauungsplans ""Großflächiger Einzelhandel an der Steinenberger Straße 1"" und die örtlichen Bauvorschriften hierzu, Gemarkung Waldsee - Abwägung und Satzungsbeschluss";SV-95/2024
2024-09-23;Gemeinderat;6;"18. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die Sonderbaufläche großflächiger Einzelhandel im Bereich des ""Lebensmittelmarkts"" an der Roßberger Straße, Gemarkung Bergatreute - Abwägung und Entwurfsbeschluss";SV-102/2024
2024-09-23;Gemeinderat;7;"Bebauungsplan ""Rauhe Äcker"" und die örtlichen Bauvorschriften hierzu, Gemarkung Mittelurbach - Abwägung und Satzungsbeschluss";SV-141/2024
2024-09-23;Gemeinderat;8;"1. Änderung des Bebauungsplans ""Drei-Eichen IV"" und die örtlichen Bauvorschriften hierzu, Gemarkung Reute - Abwägung und Satzungsbeschluss";SV-101/2024
2024-09-23;Gemeinderat;9;"Vorhabenbezogener Bebauungsplan ""Agri-Solarpark Sankt Josef"" und die örtlichen Bauvorschriften hierzu, Gemarkung Mittelurbach - Abwägung und Satzungsbeschluss";SV-98/2024
2024-09-23;Gemeinderat;10;"16. Änderung des Flächennutzungsplans der Vereinbarten Verwaltungsgemeinschaft Waldsee-Bergatreute für die Sonderbaufläche ""Agri-Solarpark Sankt Josef"", Gemarkung Mittelurbach - Abwägung und Feststellungsbeschluss";SV-99/2024
2024-09-23;Gemeinderat;11;Vergabe der weiteren Baumaßnahmen beim Breitbandausbau;
2024-09-23;Gemeinderat;12;Breitbandausbau: Weitere Vorgehensweise im Graue-Flecken-Programm;
2024-09-23;Gemeinderat;13;Verschiedenes;
2024-09-23;Gemeinderat;14;Bekanntgaben;
2024-09-23;Gemeinderat;15;Verabschiedung Herr Peter Natterer;
2024-10-02;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;1;Verschiedenes;
