datum;gremium;vorlage;titel;ergebnis;ja;nein;enthaltungen;einstimmig;betrag_euro
2024-01-22;Ausschuss für Umwelt und Technik;SV-252/2023;Haushaltsplan und Haushaltssatzung 2024 – Große Kreisstadt Bad Waldsee;einstimmig;;;;ja;
2024-01-22;Ausschuss für Umwelt und Technik;SV-249/2023;Wirtschaftsplan 2024 - Eigenbetrieb städt. Abwasserbeseitigung;einstimmig;;;;ja;6597700
2024-01-23;Verwaltungsausschuss;SV-252/2023;Haushaltsplan und Haushaltssatzung 2024 – Große Kreisstadt Bad Waldsee;einstimmig;;;;ja;
2024-01-23;Verwaltungsausschuss;SV-251/2023;Wirtschaftsplan 2024 - Alten- und Pflegeheim Spital zum Heiligen Geist;einstimmig;;;;ja;4635800
2024-01-29;Gemeinderat;SV-252/2023;Haushaltsplan und Haushaltssatzung 2024 – Große Kreisstadt Bad Waldsee;einstimmig;;;;ja;
2024-01-29;Gemeinderat;SV-249/2023;Wirtschaftsplan 2024 - Eigenbetrieb städt. Abwasserbeseitigung;einstimmig;;;;ja;6597700
2024-01-29;Gemeinderat;SV-251/2023;Wirtschaftsplan 2024 - Alten- und Pflegeheim Spital zum Heiligen Geist;einstimmig;;;;ja;4635800
2024-01-29;Gemeinderat;SV-250/2023;;einstimmig;;;;ja;36575000
2024-01-29;Gemeinderat;SV-5/2024;Annahme und Vermittlung von Spenden und Zuwendungen aus dem 2. Halbjahr 2023;einstimmig;;;;ja;
2024-01-29;Gemeinderat;SV-7/2024;Beschaffung von Strom und Gas für den Lieferzeitraum ab dem 01.01.2025;einstimmig;;;;ja;
2024-01-29;Gemeinderat;SV-2/2024;Erweiterung des Gymnasiums;ausgezählt;9;18;0;nein;10100000
2024-01-29;Gemeinderat;SV-2/2024;Erweiterung des Gymnasiums;ausgezählt;20;3;4;nein;10100000
2024-02-26;Gemeinderat;SV-3/2024;"Bebauungsplan ""2. Erweiterung Gewerbepark Wasserstall"" und die örtlichen Bauvorschriften hierzu, Gemarkung Waldsee mit 2. Änderung des Bebauungsplans ""1. Erweiterung Gewerbepark Wasserstall"" und 3. Änderung des Bebauungsplans ""Gewerbepark Wasserstall"", Gemarkung Waldsee - Abwägung und Satzungsbeschluss";einstimmig;;;;ja;
2024-02-26;Gemeinderat;SV-4/2024;12. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die geplante gewerbliche Baufläche im Bereich Wasserstall, Gemarkung Waldsee - Abwägung und Feststellungsbeschluss;einstimmig;;;;ja;
2024-02-26;Gemeinderat;SV-26/2024;Gewerbepark Wasserstall (2. Erweiterung) - Durchführungsbeschluss;einstimmig;;;;ja;5900000
2024-02-26;Gemeinderat;SV-24/2024;"Baugebiet ""Drei Eichen VI"" – Abwicklung über einen Erschließungsträger";ausgezählt;18;1;5;nein;
2024-02-26;Gemeinderat;SV-20/2024;Sanierung Kapelle Osterhofen - Durchführungsbeschluss;einstimmig;;;;ja;
2024-02-26;Gemeinderat;SV-1/2024;Strand- und Freibad: Einführung eines ermäßigten Tarifs für Rentner und Pensionäre;ausgezählt;23;0;2;nein;
2024-02-26;Gemeinderat;SV-246/2023;Verkaufsoffener Sonntag im Frühling: Erweiterung des Anlasses um den Bad Waldseer Kultursonntag und Änderung der Satzung;einstimmig;;;;ja;
2024-02-26;Gemeinderat;SV-29/2024;Kreditaufnahme für den Eigenbetrieb Städt. Abwasserbeseitigung;einstimmig;;;;ja;2000000
2024-02-26;Gemeinderat;SV-224/2023;Anpassung der Stellplatzablösebeträge;einstimmig;;;;ja;
2024-02-26;Gemeinderat;SV-225/2023;Anpassung der städtischen Förderrichtlinien im Rahmen der Denkmal- und Stadtbildpflege;einstimmig;;;;ja;
2024-02-27;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;SV-4/2024;12. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die geplante gewerbliche Baufläche im Bereich Wasserstall, Gemarkung Waldsee - Abwägung und Feststellungsbeschluss;einstimmig;;;;ja;
2024-02-27;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;SV-62/2023;15. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die Wohnbaufläche im Bereich Waldseer Straße, Gemarkung Mittelurbach - Aufstellungsbeschluss;einstimmig;;;;ja;
2024-03-04;Ausschuss für Umwelt und Technik;SV-6/2024;"3. Änderung des vorhabenbezogenen Bebauungsplans ""Großflächiger Einzelhandel an der Steinenberger Straße 1"" und die örtlichen Bauvorschriften hierzu, Gemarkung Waldsee - Entwurfsbeschluss";einstimmig;;;;ja;
2024-03-04;Ausschuss für Umwelt und Technik;SV-30/2024;"Bebauungsplan ""Rauhe Äcker"" und die örtlichen Bauvorschriften hierzu, Gemarkung Mittelurbach""";ausgezählt;10;0;2;nein;
2024-03-04;Ausschuss für Umwelt und Technik;SV-28/2024;"Bebauungsplan ""Drei-Eichen VI"" und die örtlichen Bauvorschriften hierzu, Gemarkungen Reute und Gaisbeuren";ausgezählt;11;0;1;nein;
2024-03-04;Ausschuss für Umwelt und Technik;SV-27/2024;"Baugebiet ""Drei-Eichen-VI"" – Erschließung - Planungsbeschluss";ausgezählt;10;0;2;nein;
2024-03-04;Ausschuss für Umwelt und Technik;SV-36/2024;"Baugebiet ""Drei Eichen VI"" – Abwassertechnische Erschließung – Vergabe Planungsleistungen";ausgezählt;10;0;2;nein;
2024-03-18;Gemeinderat;SV-84/2023;"Vorhabenbezogener Bebauungsplan ""Abfahrt B 30 Nord"" und die örtlichen Bauvorschriften hierzu, Gemarkung Waldsee - Abwägung und Satzungsbeschluss";ausgezählt;16;4;6;nein;
2024-03-18;Gemeinderat;SV-42/2024;Verlängerung der Durchführungsfrist des Sanierungsgebietes „Altstadt III“;einstimmig;;;;ja;
2024-04-15;Ausschuss für Umwelt und Technik;SV-32/2024;"Bebauungsplan ""Holzstraße"" und die örtlichen Bauvorschriften hierzu sowie 1. Änderung des Bebauungsplanes ""Teichäcker II"", Gemarkung Waldsee - Abwägung und Satzungsbeschluss";ausgezählt;10;3;0;nein;
2024-04-15;Ausschuss für Umwelt und Technik;SV-33/2024;"Vorhabenbezogener Bebauungsplan ""Agri-Solarpark Sankt Josef"" und die örtlichen Bauvorschriften hierzu, Gemarkung Mittelurbach - Aufstellungsbeschluss";einstimmig;;;;ja;
2024-04-15;Ausschuss für Umwelt und Technik;SV-34/2024;"16. Änderung des Flächennutzungsplans der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die Sonderbaufläche ""Agri-Solarpark Sankt Josef"", Gemarkung Mittelurbach - Aufstellungsbeschluss";einstimmig;;;;ja;
2024-04-15;Ausschuss für Umwelt und Technik;SV-35/2024;"17. Änderung des Flächennutzungsplans der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute im Bereich der ""2. Änderung des Sport- und Gesundheitspark Hopfenweiler"", Gemarkung Waldsee - Aufstellungsbeschluss";ausgezählt;10;3;0;nein;
2024-04-15;Ausschuss für Umwelt und Technik;SV-43/2024;"18. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die Sonderbaufläche großflächiger Einzelhandel im Bereich des ""Lebensmittelmarkts"" an der Roßberger Straße, Gemarkung Bergatreute - Aufstellungsbeschluss";einstimmig;;;;ja;
2024-04-22;Gemeinderat;SV-63/2024;"Sanierung Bad Waldsee ""Altstadt III"" – Sanierungssatzung – Verlängerung der Durchführungsfrist";einstimmig;;;;ja;
2024-04-22;Gemeinderat;SV-32/2024;"Bebauungsplan ""Holzstraße"" und die örtlichen Bauvorschriften hierzu sowie 1. Änderung des Bebauungsplanes ""Teichäcker II"", Gemarkung Waldsee - Abwägung und Satzungsbeschluss";ausgezählt;8;9;6;nein;
2024-04-22;Gemeinderat;SV-32/2024;"Bebauungsplan ""Holzstraße"" und die örtlichen Bauvorschriften hierzu sowie 1. Änderung des Bebauungsplanes ""Teichäcker II"", Gemarkung Waldsee - Abwägung und Satzungsbeschluss";ausgezählt;16;2;5;nein;
2024-04-22;Gemeinderat;SV-34/2024;"16. Änderung des Flächennutzungsplans der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die Sonderbaufläche ""Agri-Solarpark Sankt Josef"", Gemarkung Mittelurbach - Aufstellungsbeschluss";einstimmig;;;;ja;
2024-04-22;Gemeinderat;SV-35/2024;"17. Änderung des Flächennutzungsplans der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute im Bereich der ""2. Änderung des Sport- und Gesundheitspark Hopfenweiler"", Gemarkung Waldsee - Aufstellungsbeschluss";ausgezählt;21;0;2;nein;
2024-04-22;Gemeinderat;SV-43/2024;"18. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die Sonderbaufläche großflächiger Einzelhandel im Bereich des ""Lebensmittelmarkts"" an der Roßberger Straße, Gemarkung Bergatreute - Aufstellungsbeschluss";einstimmig;;;;ja;
2024-04-22;Gemeinderat;SV-62/2024;Stellungnahme zum Teilregionalplan Energie;ausgezählt;21;0;3;nein;
2024-04-22;Gemeinderat;SV-200/2023;Kommunale Wärmeplanung der Stadt Bad  Waldsee;einstimmig;;;;ja;
2024-04-22;Gemeinderat;SV-61/2024;Förderrichtlinien Anreizprogramme Klimaschutz 2024;einstimmig;;;;ja;
2024-04-22;Gemeinderat;SV-59/2024;"Umlegung ""Hirschhof"" - Auflösung des Umlegungsausschusses „Hirschhof“";einstimmig;;;;ja;
2024-04-22;Gemeinderat;SV-67/2024;Schaffung weiterer Kindergartenplätze;einstimmig;;;;ja;
2024-04-22;Gemeinderat;SV-75/2024;Vertrag mit der Katholischen Kirchenpflege Reute für die Förderung und den Betrieb des kirchlichen Kindergartens im Gebäude Friedenslinde 4 in Reute;einstimmig;;;;ja;
2024-04-22;Gemeinderat;SV-248/2023;ÖPNV-Konzeption 2024 ff.;einstimmig;;;;ja;
2024-04-22;Gemeinderat;SV-41/2024;Änderung der Satzung über die Benutzung von Obdachlosen- und Flüchtlingsunterkünften;einstimmig;;;;ja;
2024-04-23;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;SV-34/2024;"16. Änderung des Flächennutzungsplans der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die Sonderbaufläche ""Agri-Solarpark Sankt Josef"", Gemarkung Mittelurbach - Aufstellungsbeschluss";einstimmig;;;;ja;
2024-04-23;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;SV-35/2024;"17. Änderung des Flächennutzungsplans der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute im Bereich der ""2. Änderung des Sport- und Gesundheitspark Hopfenweiler"", Gemarkung Waldsee - Aufstellungsbeschluss";einstimmig;;;;ja;
2024-04-23;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;SV-43/2024;"18. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die Sonderbaufläche großflächiger Einzelhandel im Bereich des ""Lebensmittelmarkts"" an der Roßberger Straße, Gemarkung Bergatreute - Aufstellungsbeschluss";einstimmig;;;;ja;
2024-05-13;Ausschuss für Umwelt und Technik;SV-78/2024;Modernisierung des Bahnübergangs am Kornblumenweg in Mittelurbach durch die DB - Variantenauswahl;einstimmig;;;;ja;
2024-05-13;Ausschuss für Umwelt und Technik;SV-82/2024;Kläranlage Bad Waldsee: Durchführungsbeschluss für die Erweiterung und Sanierung der mechanischen Stufe;einstimmig;;;;ja;
2024-05-13;Ausschuss für Umwelt und Technik;SV-116/2023;;einstimmig;;;;ja;
2024-05-13;Ausschuss für Umwelt und Technik;SV-86/2024;;einstimmig;;;;ja;
2024-05-14;Verwaltungsausschuss;SV-116/2023;;einstimmig;;;;ja;
2024-05-14;Verwaltungsausschuss;SV-86/2024;;einstimmig;;;;ja;
2024-06-03;Gemeinderat;SV-82/2024;Kläranlage Bad Waldsee: Durchführungsbeschluss für die Erweiterung und Sanierung der mechanischen Stufe;einstimmig;;;;ja;
2024-06-03;Gemeinderat;SV-116/2023;;einstimmig;;;;ja;
2024-06-03;Gemeinderat;SV-86/2024;;einstimmig;;;;ja;
2024-06-03;Gemeinderat;SV-66/2024;Einsparpotenziale und Maßnahmen zur Erhöhung der Einnahmen - Vorschlag der Haushaltsstrukturkommission;einstimmig;;;;ja;
2024-06-03;Gemeinderat;SV-111/2024;Sanierung des Eugen-Bolz-Kindergartens;einstimmig;;;;ja;690000
2024-06-03;Gemeinderat;SV-68/2024;Neubau Erweiterung Gymnasium- Durchführungsbeschluss;ausgezählt;18;3;3;nein;8200000
2024-06-03;Gemeinderat;SV-56/2024;Zuweisung weiterer Aufgabengebiete und Umbenennung des seitherigen Ausschusses für Technik und Umwelt;einstimmig;;;;ja;
2024-06-03;Gemeinderat;SV-57/2024;Änderung der Hauptsatzung: Zuweisung weiterer Aufgabengebiete und Umbenennung des seitherigen Ausschusses für Technik und Umwelt;einstimmig;;;;ja;
2024-06-17;Ausschuss für Umwelt und Technik;SV-85/2024;"Bebauungsplan ""Am Rädlesbach"" und die örtlichen Bauvorschriften hierzu, Gemarkung Waldsee - Aufstellungsbeschluss";ausgezählt;13;0;0;ja;
2024-06-17;Ausschuss für Umwelt und Technik;SV-87/2024;"Vorhabenbezogener Bebauungsplan ""Agri-Solarpark Sankt Josef"" und die örtlichen Bauvorschriften hierzu, Gemarkung Mittelurbach - Abwägung und Entwurfsbeschluss";ausgezählt;13;0;0;ja;
2024-06-17;Ausschuss für Umwelt und Technik;SV-88/2024;"16. Änderung des Flächennutzungsplans der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die Sonderbaufläche ""Agri-Solarpark Sankt Josef"", Gemarkung Mittelurbach - Abwägung und Entwurfsbeschluss";ausgezählt;13;0;0;ja;
2024-06-17;Ausschuss für Umwelt und Technik;SV-89/2024;"Bebauungsplan ""Drei-Eichen VI"" und die örtlichen Bauvorschriften hierzu, Gemarkungen Reute und Gaisbeuren- Abwägung und Entwurfsbeschluss";ausgezählt;13;0;0;ja;
2024-06-17;Ausschuss für Umwelt und Technik;SV-90/2024;"1. Änderung des Bebauungsplanes ""Drei-Eichen IV"" und die örtlichen Bauvorschriften hierzu, Gemarkung Reute - Abwägung und Entwurfsbeschluss";ausgezählt;13;0;0;ja;
2024-06-17;Ausschuss für Umwelt und Technik;SV-76/2024;"Bebauungsplan ""Rauhe Äcker"" und die örtlichen Bauvorschriften hierzu, Gemarkung Mittelurbach - Abwägung und Entwurfsbeschluss";ausgezählt;10;0;3;nein;
2024-06-17;Ausschuss für Umwelt und Technik;SV-92/2024;15. Änderung des Flächennutzungsplans der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die Wohnbaufläche im Bereich Waldseer Straße, Gemarkung Mittelurbach - Abwägung und Entwurfsbeschluss;ausgezählt;13;0;0;ja;
2024-06-18;Verwaltungsausschuss;SV-120/2024;Erwerb einer Skulptur für die Außenanlage des neuen Verwaltungsgebäudes.;ausgezählt;12;1;0;nein;
2024-07-08;Gemeinderat;SV-88/2024;"16. Änderung des Flächennutzungsplans der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die Sonderbaufläche ""Agri-Solarpark Sankt Josef"", Gemarkung Mittelurbach - Abwägung und Entwurfsbeschluss";einstimmig;;;;ja;
2024-07-08;Gemeinderat;SV-92/2024;15. Änderung des Flächennutzungsplans der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die Wohnbaufläche im Bereich Waldseer Straße, Gemarkung Mittelurbach - Abwägung und Entwurfsbeschluss;einstimmig;;;;ja;
2024-07-08;Gemeinderat;SV-124/2024;Integrationsmanagement: Weiterführung ab 2025;einstimmig;;;;ja;
2024-07-08;Gemeinderat;SV-44/2024;Feststellen von Hinderungs- bzw. Ablehnungsgründen für den Eintritt in den Gemeinderat;einstimmig;;;;ja;
2024-07-11;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;SV-88/2024;"16. Änderung des Flächennutzungsplans der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die Sonderbaufläche ""Agri-Solarpark Sankt Josef"", Gemarkung Mittelurbach - Abwägung und Entwurfsbeschluss";einstimmig;;;;ja;
2024-07-11;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;SV-92/2024;15. Änderung des Flächennutzungsplans der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die Wohnbaufläche im Bereich Waldseer Straße, Gemarkung Mittelurbach - Abwägung und Entwurfsbeschluss;einstimmig;;;;ja;
2024-07-15;Gemeinderat;SV-45/2024;Verpflichtung der Mitglieder des Gemeinderates und Bestätigung der Sitzordnung;einstimmig;;;;ja;
2024-07-15;Gemeinderat;SV-46/2024;Ehrenamtliche Stellvertreter des Oberbürgermeisters;einstimmig;;;;ja;
2024-07-15;Gemeinderat;SV-46/2024;Ehrenamtliche Stellvertreter des Oberbürgermeisters;einstimmig;;;;ja;
2024-07-15;Gemeinderat;SV-48/2024;Besetzen der beschließenden Ausschüsse 1. Verwaltungsausschuss 2. Ausschuss für Umwelt, Technik und Nachhaltigkeit 3. Betriebsausschuss Städt. Rehakliniken;einstimmig;;;;ja;
2024-07-15;Gemeinderat;SV-49/2024;Bestellen von Mitglieder für 1. Arbeitskreis Kinder, Jugend und Bildung 2. Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute 3. B 30 Ausschuss 4. Kulturbeirat;einstimmig;;;;ja;
2024-07-15;Gemeinderat;SV-50/2024;Berufen von Mitglieder des Gemeinderates als Vertreter der Stadt in den/in die 1. Ausschuss des Museums- und Heimatvereins 2. Ausschuss der Sportgemeinschaft 3. Baumkommission 4. Arbeitskreis Soziale Hilfen;einstimmig;;;;ja;
2024-07-15;Gemeinderat;SV-51/2024;Bestellen von Mitgliedern / Aufsichtsräten 1. Aufsichtsräte der Kurbetriebe Bad Waldsee Dienstleistungs-GmbH 2. Mitglieder der Verbandsversammlung des Wasserversorgungsverbandes Obere Schussentalgruppe 3. Empfehlung zur Neubesetzung des Verwaltungsrats des Wasserversorgungverbandes Obere Schussentalgruppe 4. Aufsichtsräte der Stadtwerke Bad Waldsee GmbH;einstimmig;;;;ja;
2024-07-15;Gemeinderat;SV-52/2024;Bestimmen der Mitglieder der Fraktionsrunde;einstimmig;;;;ja;
2024-07-15;Gemeinderat;SV-53/2024;Unterzeichnen der Protokollniederschriften;einstimmig;;;;ja;
2024-08-05;Gemeinderat;SV-54/2024;Ortsvorsteher und ihre Stellvertreter;einstimmig;;;;ja;
2024-08-05;Gemeinderat;SV-54/2024;Ortsvorsteher und ihre Stellvertreter;einstimmig;;;;ja;
2024-08-05;Gemeinderat;SV-54/2024;Ortsvorsteher und ihre Stellvertreter;einstimmig;;;;ja;
2024-08-05;Gemeinderat;SV-54/2024;Ortsvorsteher und ihre Stellvertreter;einstimmig;;;;ja;
2024-08-05;Gemeinderat;SV-54/2024;Ortsvorsteher und ihre Stellvertreter;einstimmig;;;;ja;
2024-08-05;Gemeinderat;SV-127/2024;Straßenbaumaßnahmen an der L 285 zwischen Gaisbeuren und Reute - Zustimmung zu Planungen des Landes und Vergabe von Planungsleistungen für städtische Maßnahmen;einstimmig;;;;ja;
2024-08-05;Gemeinderat;SV-134/2024;;einstimmig;;;;ja;
2024-08-05;Gemeinderat;SV-138/2024;Gemeindliches Einvernehmen zum Antrag der Windenergieanlagen in Haisterkirch-Osterhofen;ausgezählt;20;0;3;nein;
2024-08-05;Gemeinderat;SV-129/2024;Annahme und Vermittlung von Spenden und Sponsoring aus dem 1. Halbjahr 2024;einstimmig;;;;ja;
2024-09-16;Ausschuss für Umwelt, Technik und Nachhaltigkeit;SV-95/2024;"3. Änderung des vorhabenbezogenen Bebauungsplans ""Großflächiger Einzelhandel an der Steinenberger Straße 1"" und die örtlichen Bauvorschriften hierzu, Gemarkung Waldsee - Abwägung und Satzungsbeschluss";ausgezählt;13;0;1;nein;
2024-09-16;Ausschuss für Umwelt, Technik und Nachhaltigkeit;SV-98/2024;"Vorhabenbezogener Bebauungsplan ""Agri-Solarpark Sankt Josef"" und die örtlichen Bauvorschriften hierzu, Gemarkung Mittelurbach - Abwägung und Satzungsbeschluss";einstimmig;;;;ja;
2024-09-16;Ausschuss für Umwelt, Technik und Nachhaltigkeit;SV-99/2024;"16. Änderung des Flächennutzungsplans der Vereinbarten Verwaltungsgemeinschaft Waldsee-Bergatreute für die Sonderbaufläche ""Agri-Solarpark Sankt Josef"", Gemarkung Mittelurbach - Abwägung und Feststellungsbeschluss";einstimmig;;;;ja;
2024-09-16;Ausschuss für Umwelt, Technik und Nachhaltigkeit;SV-141/2024;"Bebauungsplan ""Rauhe Äcker"" und die örtlichen Bauvorschriften hierzu, Gemarkung Mittelurbach - Abwägung und Satzungsbeschluss";ausgezählt;11;2;1;nein;
2024-09-16;Ausschuss für Umwelt, Technik und Nachhaltigkeit;SV-100/2024;"Bebauungsplan ""Drei-Eichen VI"" und die örtlichen Bauvorschriften hierzu, Gemarkungen Reute und Gaisbeuren- Abwägung und Entwurfsbeschluss";ausgezählt;12;0;2;nein;
2024-09-16;Ausschuss für Umwelt, Technik und Nachhaltigkeit;SV-101/2024;"1. Änderung des Bebauungsplans ""Drei-Eichen IV"" und die örtlichen Bauvorschriften hierzu, Gemarkung Reute - Abwägung und Satzungsbeschluss";einstimmig;;;;ja;
2024-09-16;Ausschuss für Umwelt, Technik und Nachhaltigkeit;SV-102/2024;"18. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die Sonderbaufläche großflächiger Einzelhandel im Bereich des ""Lebensmittelmarkts"" an der Roßberger Straße, Gemarkung Bergatreute - Abwägung und Entwurfsbeschluss";einstimmig;;;;ja;
2024-09-16;Ausschuss für Umwelt, Technik und Nachhaltigkeit;SV-144/2024;"Vorhabenbezogener Bebauungsplan ""Frauenbergstraße-Friedhofstraße"" und die örtlichen Bauvorschriften hierzu, Gemarkung Waldsee - Aufstellungsbeschluss";ausgezählt;13;0;1;nein;
2024-09-23;Gemeinderat;SV-102/2024;"18. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die Sonderbaufläche großflächiger Einzelhandel im Bereich des ""Lebensmittelmarkts"" an der Roßberger Straße, Gemarkung Bergatreute - Abwägung und Entwurfsbeschluss";einstimmig;;;;ja;
2024-09-23;Gemeinderat;SV-141/2024;"Bebauungsplan ""Rauhe Äcker"" und die örtlichen Bauvorschriften hierzu, Gemarkung Mittelurbach - Abwägung und Satzungsbeschluss";ausgezählt;19;4;1;nein;
2024-09-23;Gemeinderat;SV-101/2024;"1. Änderung des Bebauungsplans ""Drei-Eichen IV"" und die örtlichen Bauvorschriften hierzu, Gemarkung Reute - Abwägung und Satzungsbeschluss";ausgezählt;24;0;1;nein;
2024-09-23;Gemeinderat;SV-98/2024;"Vorhabenbezogener Bebauungsplan ""Agri-Solarpark Sankt Josef"" und die örtlichen Bauvorschriften hierzu, Gemarkung Mittelurbach - Abwägung und Satzungsbeschluss";einstimmig;;;;ja;
2024-09-23;Gemeinderat;SV-99/2024;"16. Änderung des Flächennutzungsplans der Vereinbarten Verwaltungsgemeinschaft Waldsee-Bergatreute für die Sonderbaufläche ""Agri-Solarpark Sankt Josef"", Gemarkung Mittelurbach - Abwägung und Feststellungsbeschluss";einstimmig;;;;ja;
2024-10-02;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;SV-99/2024;"16. Änderung des Flächennutzungsplans der Vereinbarten Verwaltungsgemeinschaft Waldsee-Bergatreute für die Sonderbaufläche ""Agri-Solarpark Sankt Josef"", Gemarkung Mittelurbach - Abwägung und Feststellungsbeschluss";einstimmig;;;;ja;
2024-10-02;Gemeinsamer Ausschuss der Vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute;SV-102/2024;"18. Änderung des Flächennutzungsplans der vereinbarten Verwaltungsgemeinschaft Bad Waldsee-Bergatreute für die Sonderbaufläche großflächiger Einzelhandel im Bereich des ""Lebensmittelmarkts"" an der Roßberger Straße, Gemarkung Bergatreute - Abwägung und Entwurfsbeschluss";einstimmig;;;;ja;
2024-10-07;Ausschuss für Umwelt, Technik und Nachhaltigkeit;SV-161/2024;Überplanmäßige Ausgabe | Beschaffung des Gerätewagens-Logistik 2 Schlauch (GW-L2S);einstimmig;;;;ja;
2024-10-07;Ausschuss für Umwelt, Technik und Nachhaltigkeit;SV-162/2024;Beschaffung eines Wechselladerfahrzeugs (WLF 2) für die Freiwillige Feuerwehr Bad Waldsee, Abteilung Stadt;einstimmig;;;;ja;300000
2024-10-07;Ausschuss für Umwelt, Technik und Nachhaltigkeit;SV-156/2024;Straßenprogramm 2024 - Durchführung;einstimmig;;;;ja;
2024-10-14;Gemeinderat;SV-160/2024;Schaffung eines Premium-Wanderwegs in Bad Waldsee;ausgezählt;24;0;0;ja;
2024-10-14;Gemeinderat;SV-153/2024;Änderung der Beteiligungsrichtlinie;ausgezählt;24;0;0;ja;
2024-10-14;Gemeinderat;SV-119/2024;Örtliche Bedarfsplanung für das Kindergartenjahr 2024/25;ausgezählt;21;0;3;nein;
2024-11-04;Gemeinderat;SV-174/2024;Ausschreibung PV-Anlagen;einstimmig;;;;ja;
2024-11-04;Gemeinderat;SV-172/2024;Vergabe der Planungsleistungen für den Anschluss der Kläranlage Reute an die Kläranlage Bad Waldsee;einstimmig;;;;ja;
2024-11-04;Gemeinderat;SV-133/2024;;einstimmig;;;;ja;
2024-11-04;Gemeinderat;SV-179/2024;Änderung der Satzung über die Entschädigung für ehrenamtliche Tätigkeit;ausgezählt;26;0;1;nein;
2024-11-04;Gemeinderat;SV-178/2024;Bestätigung des Verfahrens für Kreditaufnahmen;einstimmig;;;;ja;
2024-11-25;Ausschuss für Umwelt, Technik und Nachhaltigkeit;SV-149/2024;"Bebauungsplan Teilbereich A ""Drei-Eichen VI"" und die örtlichen Bauvorschriften hierzu, Gemarkungen Reute und Gaisbeuren- Abwägung und Satzungsbeschluss";einstimmig;;;;ja;
2024-11-25;Ausschuss für Umwelt, Technik und Nachhaltigkeit;SV-190/2024;"Bebauungsplan Teilbereich B ""Drei Eichen VI"" und die örtlichen Bauvorschriften hierzu, Gemarkungen Reute und Gaisbeuren – Aufstellungs- und Überleitungsbeschluss";ausgezählt;12;0;2;nein;
2024-11-25;Ausschuss für Umwelt, Technik und Nachhaltigkeit;SV-191/2024;"Bebauungsplan Teilbereich B ""Drei Eichen VI"" und die örtlichen Bauvorschriften hierzu, Gemarkungen Reute und Gaisbeuren - Abwägung und Entwurfsbeschluss";ausgezählt;12;0;2;nein;
2024-11-25;Ausschuss für Umwelt, Technik und Nachhaltigkeit;SV-150/2024;Entwidmung der Feldwege Flst. 2021 (Teilfläche) und Flst. 2026 (Teilfläche), Gemarkung Michelwinnaden;einstimmig;;;;ja;
2024-11-25;Ausschuss für Umwelt, Technik und Nachhaltigkeit;SV-195/2024;Jahresabschluss 2023 Eigenbetrieb Städt. Abwasserbeseitigung;einstimmig;;;;ja;
